source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
new data (hospital-based + HUS),incremental cost (million US$),10,2,KEN,mAb,Kenya,3880000,10$(mAb),KEN $10 mAb,9.1,9.1,8.9,9.3,8.6,9.7
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),10,2,KEN,mAb,Kenya,325,10$(mAb),KEN $10 mAb,763.4,767,698.8,840.2,589.6,1009.4
new data (hospital-based + HUS),intervention cost (million US$),10,2,KEN,mAb,Kenya,7865000,10$(mAb),KEN $10 mAb,13.1,13.1,13.1,13.1,13.1,13.1
new data (hospital-based + HUS),total DALY averted (US$),10,2,KEN,mAb,Kenya,27160,10$(mAb),KEN $10 mAb,27295.5,27158,25265,29260.2,21775,33337.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),10,2,KEN,mAb,Kenya,11900,10$(mAb),KEN $10 mAb,11955.1,11899,11076.8,12802.5,9566.9,14547.2
new data (hospital-based + HUS),total medical cost averted (million US$),10,2,KEN,mAb,Kenya,3985000,10$(mAb),KEN $10 mAb,4,4,3.8,4.2,3.5,4.5
new data (hospital-based + HUS),incremental cost/DALY averted (US$),10,2,KEN,mAb,Kenya,142,10$(mAb),KEN $10 mAb,334.4,336.1,305.8,368.4,257.3,443.5
new data (hospital-based + HUS),incremental cost (million US$),5,2,KEN,MV,Kenya,2775000,5$(MV),KEN $5 MV,5.4,5.4,5.3,5.6,5.1,5.7
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),5,2,KEN,MV,Kenya,734,5$(MV),KEN $5 MV,1435.7,1447.2,1121.7,1994.6,758,5616.3
new data (hospital-based + HUS),intervention cost (million US$),5,2,KEN,MV,Kenya,4023000,5$(MV),KEN $5 MV,6.7,6.7,6.7,6.7,6.7,6.7
new data (hospital-based + HUS),total DALY averted (US$),5,2,KEN,MV,Kenya,8594,5$(MV),KEN $5 MV,8658.2,8594,6315,10897,2224.9,15546.5
new data (hospital-based + HUS),total DALY (disc) averted (US$),5,2,KEN,MV,Kenya,3766,5$(MV),KEN $5 MV,3796,3766,2787.5,4760.5,1023.8,6754.9
new data (hospital-based + HUS),total medical cost averted (million US$),5,2,KEN,MV,Kenya,1248000,5$(MV),KEN $5 MV,1.2,1.2,1.1,1.4,0.9,1.6
new data (hospital-based + HUS),incremental cost/DALY averted (US$),5,2,KEN,MV,Kenya,322,5$(MV),KEN $5 MV,629.5,634.2,490,880.4,329.3,2584.3
new data (hospital-based + HUS),incremental cost (million US$),10,2,ZAF,mAb,South Africa,10710000,10$(mAb),ZAF $10 mAb,-6.4,-6.4,-7.6,-5.2,-10,-3
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),10,2,ZAF,mAb,South Africa,1254,10$(mAb),ZAF $10 mAb,-757.4,-752.6,-847.7,-649.3,-1018.9,-428.4
new data (hospital-based + HUS),intervention cost (million US$),10,2,ZAF,mAb,South Africa,6447000,10$(mAb),ZAF $10 mAb,10.8,10.8,10.8,10.8,10.8,10.8
new data (hospital-based + HUS),total DALY averted (US$),10,2,ZAF,mAb,South Africa,18420,10$(mAb),ZAF $10 mAb,18395.7,18425,17340.5,19469,15338,21374.4
new data (hospital-based + HUS),total DALY (disc) averted (US$),10,2,ZAF,mAb,South Africa,8504,10$(mAb),ZAF $10 mAb,8489.4,8503.5,8009,8977.2,7096,9844.2
new data (hospital-based + HUS),total medical cost averted (million US$),10,2,ZAF,mAb,South Africa,17150000,10$(mAb),ZAF $10 mAb,17.2,17.1,15.9,18.4,13.8,20.8
new data (hospital-based + HUS),incremental cost/DALY averted (US$),10,2,ZAF,mAb,South Africa,579,10$(mAb),ZAF $10 mAb,-349.5,-347.4,-390.9,-299.9,-469.3,-198.2
new data (hospital-based + HUS),incremental cost (million US$),5,2,ZAF,MV,South Africa,3930000,5$(MV),ZAF $5 MV,-1.8,-1.7,-2.5,-1,-4.2,0.3
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),5,2,ZAF,MV,South Africa,1564,5$(MV),ZAF $5 MV,-710.4,-692.9,-806.2,-520.5,-973.2,425.1
new data (hospital-based + HUS),intervention cost (million US$),5,2,ZAF,MV,South Africa,3281000,5$(MV),ZAF $5 MV,5.5,5.5,5.5,5.5,5.5,5.5
new data (hospital-based + HUS),total DALY averted (US$),5,2,ZAF,MV,South Africa,5413,5$(MV),ZAF $5 MV,5427.9,5413,4061,6791,1474.4,9446.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),5,2,ZAF,MV,South Africa,2516,5$(MV),ZAF $5 MV,2524.4,2516,1908.5,3142.5,745,4329.1
new data (hospital-based + HUS),total medical cost averted (million US$),5,2,ZAF,MV,South Africa,7211000,5$(MV),ZAF $5 MV,7.3,7.2,6.5,8,5.2,9.7
new data (hospital-based + HUS),incremental cost/DALY averted (US$),5,2,ZAF,MV,South Africa,726,5$(MV),ZAF $5 MV,-330.4,-322.1,-373,-244.6,-446,214.8
new data (hospital-based + HUS),incremental cost (million US$),12,2,KEN,mAb,Kenya,3880000,12$(mAb),KEN $12 mAb,11.8,11.8,11.6,11.9,11.2,12.3
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),12,2,KEN,mAb,Kenya,325,12$(mAb),KEN $12 mAb,982.8,987.5,903.7,1077,769.9,1283.6
new data (hospital-based + HUS),intervention cost (million US$),12,2,KEN,mAb,Kenya,7865000,12$(mAb),KEN $12 mAb,15.7,15.7,15.7,15.7,15.7,15.7
new data (hospital-based + HUS),total DALY averted (US$),12,2,KEN,mAb,Kenya,27160,12$(mAb),KEN $12 mAb,27295.5,27158,25265,29260.2,21775,33337.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),12,2,KEN,mAb,Kenya,11900,12$(mAb),KEN $12 mAb,11955.1,11899,11076.8,12802.5,9566.9,14547.2
new data (hospital-based + HUS),total medical cost averted (million US$),12,2,KEN,mAb,Kenya,3985000,12$(mAb),KEN $12 mAb,4,4,3.8,4.2,3.5,4.5
new data (hospital-based + HUS),incremental cost/DALY averted (US$),12,2,KEN,mAb,Kenya,142,12$(mAb),KEN $12 mAb,430.5,432.7,395.4,472.2,336,564
new data (hospital-based + HUS),incremental cost (million US$),6,2,KEN,MV,Kenya,2775000,6$(MV),KEN $6 MV,6.8,6.8,6.7,6.9,6.5,7.1
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),6,2,KEN,MV,Kenya,734,6$(MV),KEN $6 MV,1788.7,1803,1403.2,2475.3,956.3,6925.2
new data (hospital-based + HUS),intervention cost (million US$),6,2,KEN,MV,Kenya,4023000,6$(MV),KEN $6 MV,8,8,8,8,8,8
new data (hospital-based + HUS),total DALY averted (US$),6,2,KEN,MV,Kenya,8594,6$(MV),KEN $6 MV,8658.2,8594,6315,10897,2224.9,15546.5
new data (hospital-based + HUS),total DALY (disc) averted (US$),6,2,KEN,MV,Kenya,3766,6$(MV),KEN $6 MV,3796,3766,2787.5,4760.5,1023.8,6754.9
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,KEN,MV,Kenya,1248000,6$(MV),KEN $6 MV,1.2,1.2,1.1,1.4,0.9,1.6
new data (hospital-based + HUS),incremental cost/DALY averted (US$),6,2,KEN,MV,Kenya,322,6$(MV),KEN $6 MV,784.2,790.1,613,1092.6,415.5,3186.6
new data (hospital-based + HUS),incremental cost (million US$),12,2,ZAF,mAb,South Africa,10710000,12$(mAb),ZAF $12 mAb,-4.3,-4.2,-5.5,-3,-7.9,-0.9
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),12,2,ZAF,mAb,South Africa,1254,12$(mAb),ZAF $12 mAb,-504.2,-499.8,-608.2,-380.8,-800.5,-125.4
new data (hospital-based + HUS),intervention cost (million US$),12,2,ZAF,mAb,South Africa,6447000,12$(mAb),ZAF $12 mAb,12.9,12.9,12.9,12.9,12.9,12.9
new data (hospital-based + HUS),total DALY averted (US$),12,2,ZAF,mAb,South Africa,18420,12$(mAb),ZAF $12 mAb,18395.7,18425,17340.5,19469,15338,21374.4
new data (hospital-based + HUS),total DALY (disc) averted (US$),12,2,ZAF,mAb,South Africa,8504,12$(mAb),ZAF $12 mAb,8489.4,8503.5,8009,8977.2,7096,9844.2
new data (hospital-based + HUS),total medical cost averted (million US$),12,2,ZAF,mAb,South Africa,17150000,12$(mAb),ZAF $12 mAb,17.2,17.1,15.9,18.4,13.8,20.8
new data (hospital-based + HUS),incremental cost/DALY averted (US$),12,2,ZAF,mAb,South Africa,579,12$(mAb),ZAF $12 mAb,-232.7,-230.7,-280.4,-175.9,-368.7,-58
new data (hospital-based + HUS),incremental cost (million US$),6,2,ZAF,MV,South Africa,3930000,6$(MV),ZAF $6 MV,-0.7,-0.7,-1.4,0.1,-3.1,1.4
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),6,2,ZAF,MV,South Africa,1564,6$(MV),ZAF $6 MV,-277.3,-258.3,-458.2,52.4,-720.7,1892.6
new data (hospital-based + HUS),intervention cost (million US$),6,2,ZAF,MV,South Africa,3281000,6$(MV),ZAF $6 MV,6.6,6.6,6.6,6.6,6.6,6.6
new data (hospital-based + HUS),total DALY averted (US$),6,2,ZAF,MV,South Africa,5413,6$(MV),ZAF $6 MV,5427.9,5413,4061,6791,1474.4,9446.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),6,2,ZAF,MV,South Africa,2516,6$(MV),ZAF $6 MV,2524.4,2516,1908.5,3142.5,745,4329.1
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,ZAF,MV,South Africa,7211000,6$(MV),ZAF $6 MV,7.3,7.2,6.5,8,5.2,9.7
new data (hospital-based + HUS),incremental cost/DALY averted (US$),6,2,ZAF,MV,South Africa,726,6$(MV),ZAF $6 MV,-129,-120.1,-212,24.6,-330.3,956.3
new data (hospital-based + HUS),incremental cost (million US$),20,2,KEN,mAb,Kenya,3880000,20$(mAb),KEN $20 mAb,22.2,22.2,22.1,22.4,21.7,22.8
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),20,2,KEN,mAb,Kenya,325,20$(mAb),KEN $20 mAb,1860.6,1869.3,1723.4,2024.4,1491.2,2380.4
new data (hospital-based + HUS),intervention cost (million US$),20,2,KEN,mAb,Kenya,7865000,20$(mAb),KEN $20 mAb,26.2,26.2,26.2,26.2,26.2,26.2
new data (hospital-based + HUS),total DALY averted (US$),20,2,KEN,mAb,Kenya,27160,20$(mAb),KEN $20 mAb,27295.5,27158,25265,29260.2,21775,33337.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),20,2,KEN,mAb,Kenya,11900,20$(mAb),KEN $20 mAb,11955.1,11899,11076.8,12802.5,9566.9,14547.2
new data (hospital-based + HUS),total medical cost averted (million US$),20,2,KEN,mAb,Kenya,3985000,20$(mAb),KEN $20 mAb,4,4,3.8,4.2,3.5,4.5
new data (hospital-based + HUS),incremental cost/DALY averted (US$),20,2,KEN,mAb,Kenya,142,20$(mAb),KEN $20 mAb,814.9,819,754,887.5,650.7,1045.8
new data (hospital-based + HUS),incremental cost (million US$),10,2,KEN,MV,Kenya,2775000,10$(MV),KEN $10 MV,12.1,12.1,12,12.3,11.8,12.4
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),10,2,KEN,MV,Kenya,734,10$(MV),KEN $10 MV,3200.8,3226.2,2529.1,4398.2,1749.9,12160.6
new data (hospital-based + HUS),intervention cost (million US$),10,2,KEN,MV,Kenya,4023000,10$(MV),KEN $10 MV,13.4,13.4,13.4,13.4,13.4,13.4
new data (hospital-based + HUS),total DALY averted (US$),10,2,KEN,MV,Kenya,8594,10$(MV),KEN $10 MV,8658.2,8594,6315,10897,2224.9,15546.5
new data (hospital-based + HUS),total DALY (disc) averted (US$),10,2,KEN,MV,Kenya,3766,10$(MV),KEN $10 MV,3796,3766,2787.5,4760.5,1023.8,6754.9
new data (hospital-based + HUS),total medical cost averted (million US$),10,2,KEN,MV,Kenya,1248000,10$(MV),KEN $10 MV,1.2,1.2,1.1,1.4,0.9,1.6
new data (hospital-based + HUS),incremental cost/DALY averted (US$),10,2,KEN,MV,Kenya,322,10$(MV),KEN $10 MV,1403.3,1413.8,1104.9,1941.4,760.3,5595.6
new data (hospital-based + HUS),incremental cost (million US$),20,2,ZAF,mAb,South Africa,10710000,20$(mAb),ZAF $20 mAb,4.3,4.4,3.1,5.6,0.7,7.7
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),20,2,ZAF,mAb,South Africa,1254,20$(mAb),ZAF $20 mAb,508.9,511.6,349.8,693,73.1,1086.5
new data (hospital-based + HUS),intervention cost (million US$),20,2,ZAF,mAb,South Africa,6447000,20$(mAb),ZAF $20 mAb,21.5,21.5,21.5,21.5,21.5,21.5
new data (hospital-based + HUS),total DALY averted (US$),20,2,ZAF,mAb,South Africa,18420,20$(mAb),ZAF $20 mAb,18395.7,18425,17340.5,19469,15338,21374.4
new data (hospital-based + HUS),total DALY (disc) averted (US$),20,2,ZAF,mAb,South Africa,8504,20$(mAb),ZAF $20 mAb,8489.4,8503.5,8009,8977.2,7096,9844.2
new data (hospital-based + HUS),total medical cost averted (million US$),20,2,ZAF,mAb,South Africa,17150000,20$(mAb),ZAF $20 mAb,17.2,17.1,15.9,18.4,13.8,20.8
new data (hospital-based + HUS),incremental cost/DALY averted (US$),20,2,ZAF,mAb,South Africa,579,20$(mAb),ZAF $20 mAb,234.8,236.1,161.3,320.1,33.7,502.7
new data (hospital-based + HUS),incremental cost (million US$),10,2,ZAF,MV,South Africa,3930000,10$(MV),ZAF $10 MV,3.7,3.7,2.9,4.5,1.3,5.8
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),10,2,ZAF,MV,South Africa,1564,10$(MV),ZAF $10 MV,1455.1,1479.9,933.4,2343.9,289.5,7762.9
new data (hospital-based + HUS),intervention cost (million US$),10,2,ZAF,MV,South Africa,3281000,10$(MV),ZAF $10 MV,10.9,10.9,10.9,10.9,10.9,10.9
new data (hospital-based + HUS),total DALY averted (US$),10,2,ZAF,MV,South Africa,5413,10$(MV),ZAF $10 MV,5427.9,5413,4061,6791,1474.4,9446.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),10,2,ZAF,MV,South Africa,2516,10$(MV),ZAF $10 MV,2524.4,2516,1908.5,3142.5,745,4329.1
new data (hospital-based + HUS),total medical cost averted (million US$),10,2,ZAF,MV,South Africa,7211000,10$(MV),ZAF $10 MV,7.3,7.2,6.5,8,5.2,9.7
new data (hospital-based + HUS),incremental cost/DALY averted (US$),10,2,ZAF,MV,South Africa,726,10$(MV),ZAF $10 MV,676.7,687.9,431.9,1101.5,132.7,3922.4
new data (hospital-based + HUS),incremental cost (million US$),30,2,KEN,mAb,Kenya,3880000,30$(mAb),KEN $30 mAb,35.4,35.4,35.2,35.5,34.8,35.9
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),30,2,KEN,mAb,Kenya,325,30$(mAb),KEN $30 mAb,2957.7,2971.7,2747.9,3208.5,2392.9,3751.5
new data (hospital-based + HUS),intervention cost (million US$),30,2,KEN,mAb,Kenya,7865000,30$(mAb),KEN $30 mAb,39.4,39.4,39.4,39.4,39.4,39.4
new data (hospital-based + HUS),total DALY averted (US$),30,2,KEN,mAb,Kenya,27160,30$(mAb),KEN $30 mAb,27295.5,27158,25265,29260.2,21775,33337.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),30,2,KEN,mAb,Kenya,11900,30$(mAb),KEN $30 mAb,11955.1,11899,11076.8,12802.5,9566.9,14547.2
new data (hospital-based + HUS),total medical cost averted (million US$),30,2,KEN,mAb,Kenya,3985000,30$(mAb),KEN $30 mAb,4,4,3.8,4.2,3.5,4.5
new data (hospital-based + HUS),incremental cost/DALY averted (US$),30,2,KEN,mAb,Kenya,142,30$(mAb),KEN $30 mAb,1295.5,1302,1202.3,1406.7,1044.2,1648.2
new data (hospital-based + HUS),incremental cost (million US$),15,2,KEN,MV,Kenya,2775000,15$(MV),KEN $15 MV,18.8,18.8,18.7,19,18.5,19.1
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),15,2,KEN,MV,Kenya,734,15$(MV),KEN $15 MV,4965.8,5005.3,3936.6,6801.8,2741.7,18704.8
new data (hospital-based + HUS),intervention cost (million US$),15,2,KEN,MV,Kenya,4023000,15$(MV),KEN $15 MV,20.1,20.1,20.1,20.1,20.1,20.1
new data (hospital-based + HUS),total DALY averted (US$),15,2,KEN,MV,Kenya,8594,15$(MV),KEN $15 MV,8658.2,8594,6315,10897,2224.9,15546.5
new data (hospital-based + HUS),total DALY (disc) averted (US$),15,2,KEN,MV,Kenya,3766,15$(MV),KEN $15 MV,3796,3766,2787.5,4760.5,1023.8,6754.9
new data (hospital-based + HUS),total medical cost averted (million US$),15,2,KEN,MV,Kenya,1248000,15$(MV),KEN $15 MV,1.2,1.2,1.1,1.4,0.9,1.6
new data (hospital-based + HUS),incremental cost/DALY averted (US$),15,2,KEN,MV,Kenya,322,15$(MV),KEN $15 MV,2177.1,2193.4,1719.7,3002.4,1191.3,8606.9
new data (hospital-based + HUS),incremental cost (million US$),30,2,ZAF,mAb,South Africa,10710000,30$(mAb),ZAF $30 mAb,15.1,15.1,13.9,16.3,11.5,18.5
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),30,2,ZAF,mAb,South Africa,1254,30$(mAb),ZAF $30 mAb,1775.2,1775.7,1547.2,2035.2,1165.2,2601.5
new data (hospital-based + HUS),intervention cost (million US$),30,2,ZAF,mAb,South Africa,6447000,30$(mAb),ZAF $30 mAb,32.2,32.2,32.2,32.2,32.2,32.2
new data (hospital-based + HUS),total DALY averted (US$),30,2,ZAF,mAb,South Africa,18420,30$(mAb),ZAF $30 mAb,18395.7,18425,17340.5,19469,15338,21374.4
new data (hospital-based + HUS),total DALY (disc) averted (US$),30,2,ZAF,mAb,South Africa,8504,30$(mAb),ZAF $30 mAb,8489.4,8503.5,8009,8977.2,7096,9844.2
new data (hospital-based + HUS),total medical cost averted (million US$),30,2,ZAF,mAb,South Africa,17150000,30$(mAb),ZAF $30 mAb,17.2,17.1,15.9,18.4,13.8,20.8
new data (hospital-based + HUS),incremental cost/DALY averted (US$),30,2,ZAF,mAb,South Africa,579,30$(mAb),ZAF $30 mAb,819.2,819.5,713.4,940,536.6,1203.6
new data (hospital-based + HUS),incremental cost (million US$),15,2,ZAF,MV,South Africa,3930000,15$(MV),ZAF $15 MV,9.1,9.2,8.4,9.9,6.7,11.2
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),15,2,ZAF,MV,South Africa,1564,15$(MV),ZAF $15 MV,3620.7,3652.6,2673,5208.3,1552.3,15100.7
new data (hospital-based + HUS),intervention cost (million US$),15,2,ZAF,MV,South Africa,3281000,15$(MV),ZAF $15 MV,16.4,16.4,16.4,16.4,16.4,16.4
new data (hospital-based + HUS),total DALY averted (US$),15,2,ZAF,MV,South Africa,5413,15$(MV),ZAF $15 MV,5427.9,5413,4061,6791,1474.4,9446.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),15,2,ZAF,MV,South Africa,2516,15$(MV),ZAF $15 MV,2524.4,2516,1908.5,3142.5,745,4329.1
new data (hospital-based + HUS),total medical cost averted (million US$),15,2,ZAF,MV,South Africa,7211000,15$(MV),ZAF $15 MV,7.3,7.2,6.5,8,5.2,9.7
new data (hospital-based + HUS),incremental cost/DALY averted (US$),15,2,ZAF,MV,South Africa,726,15$(MV),ZAF $15 MV,1683.9,1697.8,1236.9,2447.7,711.4,7630
new data (hospital-based + HUS),incremental cost (million US$),40,2,KEN,mAb,Kenya,3880000,40$(mAb),KEN $40 mAb,48.5,48.5,48.3,48.7,47.9,49
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),40,2,KEN,mAb,Kenya,325,40$(mAb),KEN $40 mAb,4054.9,4074,3772.4,4392.7,3294.6,5122.5
new data (hospital-based + HUS),intervention cost (million US$),40,2,KEN,mAb,Kenya,7865000,40$(mAb),KEN $40 mAb,52.5,52.5,52.5,52.5,52.5,52.5
new data (hospital-based + HUS),total DALY averted (US$),40,2,KEN,mAb,Kenya,27160,40$(mAb),KEN $40 mAb,27295.5,27158,25265,29260.2,21775,33337.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),40,2,KEN,mAb,Kenya,11900,40$(mAb),KEN $40 mAb,11955.1,11899,11076.8,12802.5,9566.9,14547.2
new data (hospital-based + HUS),total medical cost averted (million US$),40,2,KEN,mAb,Kenya,3985000,40$(mAb),KEN $40 mAb,4,4,3.8,4.2,3.5,4.5
new data (hospital-based + HUS),incremental cost/DALY averted (US$),40,2,KEN,mAb,Kenya,142,40$(mAb),KEN $40 mAb,1776,1785,1650.6,1925.9,1437.6,2250.6
new data (hospital-based + HUS),incremental cost (million US$),20,2,KEN,MV,Kenya,2775000,20$(MV),KEN $20 MV,25.5,25.5,25.4,25.7,25.2,25.8
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),20,2,KEN,MV,Kenya,734,20$(MV),KEN $20 MV,6730.8,6784.4,5344,9205.4,3733.6,25249.1
new data (hospital-based + HUS),intervention cost (million US$),20,2,KEN,MV,Kenya,4023000,20$(MV),KEN $20 MV,26.8,26.8,26.8,26.8,26.8,26.8
new data (hospital-based + HUS),total DALY averted (US$),20,2,KEN,MV,Kenya,8594,20$(MV),KEN $20 MV,8658.2,8594,6315,10897,2224.9,15546.5
new data (hospital-based + HUS),total DALY (disc) averted (US$),20,2,KEN,MV,Kenya,3766,20$(MV),KEN $20 MV,3796,3766,2787.5,4760.5,1023.8,6754.9
new data (hospital-based + HUS),total medical cost averted (million US$),20,2,KEN,MV,Kenya,1248000,20$(MV),KEN $20 MV,1.2,1.2,1.1,1.4,0.9,1.6
new data (hospital-based + HUS),incremental cost/DALY averted (US$),20,2,KEN,MV,Kenya,322,20$(MV),KEN $20 MV,2951,2973,2334.6,4063.3,1622.2,11618.2
new data (hospital-based + HUS),incremental cost (million US$),40,2,ZAF,mAb,South Africa,10710000,40$(mAb),ZAF $40 mAb,25.8,25.9,24.6,27,22.2,29.2
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),40,2,ZAF,mAb,South Africa,1254,40$(mAb),ZAF $40 mAb,3041.4,3039.9,2744.7,3377.5,2257.2,4116.4
new data (hospital-based + HUS),intervention cost (million US$),40,2,ZAF,mAb,South Africa,6447000,40$(mAb),ZAF $40 mAb,43,43,43,43,43,43
new data (hospital-based + HUS),total DALY averted (US$),40,2,ZAF,mAb,South Africa,18420,40$(mAb),ZAF $40 mAb,18395.7,18425,17340.5,19469,15338,21374.4
