country_plot,intervention,plot_variable,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high
South Africa,mAb,total DALY,total_DALY_averted,14298,14321,13478,15145,11861,16728,0.364,0.365,0.346,0.383,0.308,0.413
South Africa,mAb,total YLD,total_YLD_averted,362,356,326,388,280,484,0.154,0.153,0.142,0.164,0.124,0.192
South Africa,mAb,total YLL,total_YLL_averted,13937,13944,13126,14770,11518,16336,0.377,0.379,0.359,0.397,0.319,0.428
South Africa,MV,YLD medically attended cases,hosp_med_att_YLD_averted,88,86,77,96,62,119,0.132,0.131,0.119,0.144,0.098,0.17
South Africa,MV,YLD hospitalised cases,hosp_YLD_averted,65,65,58,73,46,87,0.243,0.243,0.222,0.265,0.182,0.305
South Africa,MV,YLD non-hospitalised cases,non_hosp_YLD_averted,152,146,126,170,96,243,0.09,0.088,0.077,0.101,0.059,0.134
South Africa,MV,total DALY,total_DALY_averted,10299,10308,9545,11062,8088,12495,0.262,0.263,0.245,0.28,0.21,0.308
South Africa,MV,total YLD,total_YLD_averted,217,213,189,240,150,315,0.093,0.091,0.082,0.102,0.066,0.127
South Africa,MV,total YLL,total_YLL_averted,10082,10093,9330,10841,7884,12276,0.273,0.274,0.254,0.292,0.217,0.321
Kenya,mAb,hospitalised cases,hosp_cases_averted,6446,6478,6110,6814,5352,7432,0.235,0.237,0.224,0.248,0.198,0.267
Kenya,mAb,non-hospitalised cases,non_hosp_cases_averted,150774,150806,145591,156032,134892,165823,0.063,0.063,0.061,0.065,0.057,0.069
Kenya,mAb,deaths,rsv_deaths_averted,342,341,317,367,267,421,0.135,0.135,0.126,0.144,0.107,0.164
Kenya,MV,hospitalised cases,hosp_cases_averted,5064,5080,4737,5435,4008,6008,0.185,0.186,0.174,0.197,0.147,0.216
Kenya,MV,non-hospitalised cases,non_hosp_cases_averted,35347,35556,29212,41736,17441,51708,0.015,0.015,0.012,0.018,0.007,0.022
Kenya,MV,deaths,rsv_deaths_averted,268,266,242,292,198,344,0.106,0.105,0.096,0.115,0.079,0.133
South Africa,mAb,hospitalised cases,hosp_cases_averted,13871,13892,13088,14684,11429,16152,0.333,0.334,0.316,0.351,0.28,0.38
South Africa,mAb,non-hospitalised cases,non_hosp_cases_averted,151481,147536,133597,163782,112897,216056,0.134,0.132,0.122,0.144,0.105,0.178
South Africa,mAb,deaths,rsv_deaths_averted,223,223,210,236,184,261,0.378,0.379,0.359,0.398,0.319,0.429
South Africa,MV,hospitalised cases,hosp_cases_averted,10104,10132,9359,10887,7870,12152,0.242,0.244,0.226,0.26,0.192,0.286
South Africa,MV,non-hospitalised cases,non_hosp_cases_averted,64538,62021,48038,77018,26284,118930,0.057,0.055,0.043,0.068,0.024,0.1
South Africa,MV,deaths,rsv_deaths_averted,161,161,149,173,126,196,0.273,0.275,0.255,0.293,0.218,0.322
Kenya,mAb,hospitalisation costs (US$),cost_rsv_hosp_averted,1680634,1680108,1565026,1794868,1352343,2005366,0.235,0.237,0.224,0.248,0.198,0.267
Kenya,mAb,outpatient costs (US$),cost_rsv_outpatient_averted,1296215,1294482,1239272,1352858,1131468,1471795,0.055,0.055,0.052,0.057,0.048,0.062
Kenya,mAb,total medical cost (US$),total_medical_cost_averted,2976849,2975328,2849707,3101554,2609189,3354516,0.096,0.096,0.093,0.1,0.085,0.107
Kenya,MV,hospitalisation costs (US$),cost_rsv_hosp_averted,1319997,1320113,1216507,1424278,1020963,1617082,0.185,0.186,0.174,0.197,0.147,0.216
Kenya,MV,outpatient costs (US$),cost_rsv_outpatient_averted,258780,259588,213617,303728,136559,379075,0.011,0.011,0.009,0.013,0.006,0.016
Kenya,MV,total medical cost (US$),total_medical_cost_averted,1578777,1578745,1472114,1690782,1249882,1900742,0.051,0.051,0.048,0.055,0.041,0.061
South Africa,mAb,hospitalisation costs (US$),cost_rsv_hosp_averted,12353153,12325234,11430822,13252793,9744717,15084057,0.356,0.357,0.336,0.376,0.293,0.41
South Africa,mAb,outpatient costs (US$),cost_rsv_outpatient_averted,1148920,1099170,975088,1259637,797955,1805384,0.124,0.121,0.109,0.135,0.091,0.176
South Africa,mAb,total medical cost (US$),total_medical_cost_averted,13502073,13472480,12556790,14406491,10853424,16304723,0.307,0.308,0.291,0.324,0.257,0.352
South Africa,MV,hospitalisation costs (US$),cost_rsv_hosp_averted,9946849,9905158,9015963,10846782,7380405,12699964,0.286,0.287,0.265,0.308,0.222,0.345
South Africa,MV,outpatient costs (US$),cost_rsv_outpatient_averted,479600,439918,338070,577024,188016,995674,0.051,0.048,0.037,0.062,0.021,0.099
South Africa,MV,total medical cost (US$),total_medical_cost_averted,10426449,10363272,9491060,11343298,7813584,13224733,0.237,0.237,0.22,0.255,0.184,0.286
