age_in_months,variable,value,CI_95_lower,CI_95_upper,medically_attended,RSV_assoc,disease_type,metric_per_popul,period,region
<12,rate,560,504,627,non_medically_attended,no,ARI,1000,2010-2018,Kenya
12-14,rate,582,521,648,non_medically_attended,no,ARI,1000,2010-2018,Kenya
15-17,rate,645,577,719,non_medically_attended,no,ARI,1000,2010-2018,Kenya
18-20,rate,626,562,697,non_medically_attended,no,ARI,1000,2010-2018,Kenya
21-23,rate,583,524,646,non_medically_attended,no,ARI,1000,2010-2018,Kenya
12-23,rate,601,542,673,non_medically_attended,no,ARI,1000,2010-2018,Kenya
<24,rate,579,520,645,non_medically_attended,no,ARI,1000,2010-2018,Kenya
24-35,rate,587,531,655,non_medically_attended,no,ARI,1000,2010-2018,Kenya
36-47,rate,553,498,617,non_medically_attended,no,ARI,1000,2010-2018,Kenya
48-59,rate,526,472,587,non_medically_attended,no,ARI,1000,2010-2018,Kenya
24-59,rate,552,491,618,non_medically_attended,no,ARI,1000,2010-2018,Kenya
<60,rate,541,486,602,non_medically_attended,no,ARI,1000,2010-2018,Kenya
<1,rate,11,8,14,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
1,rate,28,22,35,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
2,rate,50,39,62,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
3,rate,110,92,132,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
4,rate,132,109,160,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
5,rate,130,105,155,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
6,rate,93,73,116,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
7,rate,70,53,90,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
8,rate,75,57,99,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
9,rate,105,84,128,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
10,rate,110,89,138,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
11,rate,91,69,113,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
<12,rate,96,86,109,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
12-14,rate,73,60,86,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
15-17,rate,61,47,75,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
18-20,rate,51,39,65,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
21-23,rate,55,42,73,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
12-23,rate,60,52,70,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
<24,rate,85,76,96,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
24-35,rate,44,35,53,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
36-47,rate,39,31,49,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
48-59,rate,18,11,26,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
24-59,rate,36,31,43,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
<60,rate,64,58,72,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
<1,rate,1893,1633,2201,hospitalised,yes,SARI,100000,2010-2018,Kenya
1,rate,2736,2329,3210,hospitalised,yes,SARI,100000,2010-2018,Kenya
2,rate,1994,1714,2330,hospitalised,yes,SARI,100000,2010-2018,Kenya
3,rate,1213,1038,1432,hospitalised,yes,SARI,100000,2010-2018,Kenya
4,rate,1098,935,1278,hospitalised,yes,SARI,100000,2010-2018,Kenya
5,rate,1208,1030,1413,hospitalised,yes,SARI,100000,2010-2018,Kenya
6,rate,842,702,1015,hospitalised,yes,SARI,100000,2010-2018,Kenya
7,rate,732,611,869,hospitalised,yes,SARI,100000,2010-2018,Kenya
8,rate,682,571,818,hospitalised,yes,SARI,100000,2010-2018,Kenya
9,rate,410,334,494,hospitalised,yes,SARI,100000,2010-2018,Kenya
10,rate,460,380,548,hospitalised,yes,SARI,100000,2010-2018,Kenya
11,rate,372,312,453,hospitalised,yes,SARI,100000,2010-2018,Kenya
12-14,rate,307,248,373,hospitalised,yes,SARI,100000,2010-2018,Kenya
15-17,rate,228,179,290,hospitalised,yes,SARI,100000,2010-2018,Kenya
18-20,rate,255,199,320,hospitalised,yes,SARI,100000,2010-2018,Kenya
21-23,rate,147,107,191,hospitalised,yes,SARI,100000,2010-2018,Kenya
24-35,rate,96,79,118,hospitalised,yes,SARI,100000,2010-2018,Kenya
36-47,rate,46,35,60,hospitalised,yes,SARI,100000,2010-2018,Kenya
48-59,rate,11,6,16,hospitalised,yes,SARI,100000,2010-2018,Kenya
<1,rate,5841,5041,6791,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
1,rate,8442,7187,9905,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
2,rate,6153,5289,7189,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
3,rate,3743,3203,4419,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
4,rate,3387,2885,3943,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
5,rate,3727,3180,4360,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
6,rate,2597,2165,3133,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
7,rate,2260,1886,2682,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
8,rate,2106,1762,2525,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
9,rate,1267,1030,1526,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
10,rate,1419,1172,1692,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
11,rate,1147,961,1399,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
12-14,rate,946,766,1151,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
15-17,rate,702,551,894,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
18-20,rate,786,615,986,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
21-23,rate,453,330,589,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
24-35,rate,297,243,364,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
36-47,rate,143,106,185,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
48-59,rate,33,18,51,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
