age in months,value,LCI,UCI,variable,medically attended,metric_per_popul
36-47,0.3 ,0.1,0.5,rate,in-hospital,100000
48-59,0.3 ,0.1,0.5,rate,in-hospital,100000
<1 year,38.1 ,29.5,57.0,rate,in-hospital,100000
<5 years,8.6 ,6.5,12.9,rate,in-hospital,100000
<1 ,28,18,34,number,out-of-hospital,NA
1,28,20,31,number,out-of-hospital,NA
2,20,14,23,number,out-of-hospital,NA
3,17,12,20,number,out-of-hospital,NA
4,17,11,20,number,out-of-hospital,NA
5,11,7,12,number,out-of-hospital,NA
6,10,7,13,number,out-of-hospital,NA
7,7,4,9,number,out-of-hospital,NA
8,5,3,6,number,out-of-hospital,NA
9,4,2,6,number,out-of-hospital,NA
10,4,2,5,number,out-of-hospital,NA
11,4,2,5,number,out-of-hospital,NA
12-14,4,2,5,number,out-of-hospital,NA
15-17,2,1,3,number,out-of-hospital,NA
18-20,2,1,3,number,out-of-hospital,NA
21-23,2,1,4,number,out-of-hospital,NA
24-35,2,1,3,number,out-of-hospital,NA
36-47,1,0,2,number,out-of-hospital,NA
48-59,1,0,2,number,out-of-hospital,NA
<1 year,154,107,207,number,out-of-hospital,NA
<5 years,169,115,227,number,out-of-hospital,NA
<1 ,28.8  ,18.0,34.7,rate,out-of-hospital,100000
1,28.9  ,20.6,32.6,rate,out-of-hospital,100000
2,20.6 ,14.3,23.7,rate,out-of-hospital,100000
3,18.2 ,12.3,21.4,rate,out-of-hospital,100000
4,17.3 ,11.2,20.9,rate,out-of-hospital,100000
5,11.0 ,6.9,13.8,rate,out-of-hospital,100000
6,10.8 ,6.9,13.2,rate,out-of-hospital,100000
7,7.3 ,4.2,9.6,rate,out-of-hospital,100000
8,4.9 ,2.7,6.4,rate,out-of-hospital,100000
9,4.2 ,2.1,6.0,rate,out-of-hospital,100000
10,4.1 ,2.1,5.7,rate,out-of-hospital,100000
11,3.8 ,1.9,5.4,rate,out-of-hospital,100000
12-14,1.3 ,0.8,1.6,rate,out-of-hospital,100000
15-17,0.9 ,0.5,1.1,rate,out-of-hospital,100000
18-20,0.6 ,0.3,0.9,rate,out-of-hospital,100000
21-23,0.9 ,0.4,1.3,rate,out-of-hospital,100000
24-35,0.2 ,0.1,0.3,rate,out-of-hospital,100000
36-47,0.1 ,0.0,0.2,rate,out-of-hospital,100000
48-59,0.1 ,0.0,0.2,rate,out-of-hospital,100000
<1 year,13.4 ,9.3,18.0,rate,out-of-hospital,100000
<5 years,3.0 ,2.1,4.1,rate,out-of-hospital,100000
