age_in_months,variable,value,CI_95_lower,CI_95_upper,medically_attended,RSV_assoc,disease_type,metric_per_popul,period,region
<12,rate,560,504,627,non_medically_attended,no,ARI,1000,2010-2018,Kenya
12-14,rate,582,521,648,non_medically_attended,no,ARI,1000,2010-2018,Kenya
15-17,rate,645,577,719,non_medically_attended,no,ARI,1000,2010-2018,Kenya
18-20,rate,626,562,697,non_medically_attended,no,ARI,1000,2010-2018,Kenya
21-23,rate,583,524,646,non_medically_attended,no,ARI,1000,2010-2018,Kenya
12-23,rate,601,542,673,non_medically_attended,no,ARI,1000,2010-2018,Kenya
<24,rate,579,520,645,non_medically_attended,no,ARI,1000,2010-2018,Kenya
24-35,rate,587,531,655,non_medically_attended,no,ARI,1000,2010-2018,Kenya
36-47,rate,553,498,617,non_medically_attended,no,ARI,1000,2010-2018,Kenya
48-59,rate,526,472,587,non_medically_attended,no,ARI,1000,2010-2018,Kenya
24-59,rate,552,491,618,non_medically_attended,no,ARI,1000,2010-2018,Kenya
<60,rate,541,486,602,non_medically_attended,no,ARI,1000,2010-2018,Kenya
<1,rate,11,8,14,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
1,rate,28,22,35,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
2,rate,50,39,62,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
3,rate,110,92,132,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
4,rate,132,109,160,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
5,rate,130,105,155,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
6,rate,93,73,116,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
7,rate,70,53,90,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
8,rate,75,57,99,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
9,rate,105,84,128,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
10,rate,110,89,138,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
11,rate,91,69,113,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
<12,rate,96,86,109,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
12-14,rate,73,60,86,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
15-17,rate,61,47,75,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
18-20,rate,51,39,65,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
21-23,rate,55,42,73,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
12-23,rate,60,52,70,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
<24,rate,85,76,96,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
24-35,rate,44,35,53,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
36-47,rate,39,31,49,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
48-59,rate,18,11,26,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
24-59,rate,36,31,43,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
<60,rate,64,58,72,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
<1,rate,4060,3554,4658,hospitalised,no,SARI,100000,2010-2018,Kenya
1,rate,6665,5785,7658,hospitalised,no,SARI,100000,2010-2018,Kenya
2,rate,4950,4307,5709,hospitalised,no,SARI,100000,2010-2018,Kenya
3,rate,5008,4366,5783,hospitalised,no,SARI,100000,2010-2018,Kenya
4,rate,4839,4208,5550,hospitalised,no,SARI,100000,2010-2018,Kenya
5,rate,5408,4737,6285,hospitalised,no,SARI,100000,2010-2018,Kenya
6,rate,5412,4726,6225,hospitalised,no,SARI,100000,2010-2018,Kenya
7,rate,4558,4003,5260,hospitalised,no,SARI,100000,2010-2018,Kenya
8,rate,4323,3734,4985,hospitalised,no,SARI,100000,2010-2018,Kenya
9,rate,3439,3007,3953,hospitalised,no,SARI,100000,2010-2018,Kenya
10,rate,3896,3427,4475,hospitalised,no,SARI,100000,2010-2018,Kenya
11,rate,3073,2687,3500,hospitalised,no,SARI,100000,2010-2018,Kenya
<12,rate,4648,4058,5293,hospitalised,no,SARI,100000,2010-2018,Kenya
12-14,rate,2558,2222,2927,hospitalised,no,SARI,100000,2010-2018,Kenya
15-17,rate,2116,1832,2433,hospitalised,no,SARI,100000,2010-2018,Kenya
18-20,rate,2101,1836,2399,hospitalised,no,SARI,100000,2010-2018,Kenya
21-23,rate,1448,1269,1644,hospitalised,no,SARI,100000,2010-2018,Kenya
12-23,rate,2069,1821,2371,hospitalised,no,SARI,100000,2010-2018,Kenya
<24,rate,3349,2930,3826,hospitalised,no,SARI,100000,2010-2018,Kenya
24-35,rate,1056,926,1216,hospitalised,no,SARI,100000,2010-2018,Kenya
36-47,rate,695,603,797,hospitalised,no,SARI,100000,2010-2018,Kenya
48-59,rate,396,344,451,hospitalised,no,SARI,100000,2010-2018,Kenya
24-59 ,rate,722,622,830,hospitalised,no,SARI,100000,2010-2018,Kenya
<60,rate,1766,1531,2027,hospitalised,no,SARI,100000,2010-2018,Kenya
<1,rate,1406,1201,1631,hospitalised,yes,SARI,100000,2010-2018,Kenya
1,rate,2303,1963,2704,hospitalised,yes,SARI,100000,2010-2018,Kenya
2,rate,1713,1462,1976,hospitalised,yes,SARI,100000,2010-2018,Kenya
3,rate,1098,941,1291,hospitalised,yes,SARI,100000,2010-2018,Kenya
4,rate,1063,901,1254,hospitalised,yes,SARI,100000,2010-2018,Kenya
5,rate,1193,1011,1408,hospitalised,yes,SARI,100000,2010-2018,Kenya
6,rate,845,708,997,hospitalised,yes,SARI,100000,2010-2018,Kenya
7,rate,717,608,848,hospitalised,yes,SARI,100000,2010-2018,Kenya
8,rate,677,565,808,hospitalised,yes,SARI,100000,2010-2018,Kenya
9,rate,412,336,499,hospitalised,yes,SARI,100000,2010-2018,Kenya
10,rate,466,385,566,hospitalised,yes,SARI,100000,2010-2018,Kenya
11,rate,367,303,438,hospitalised,yes,SARI,100000,2010-2018,Kenya
<12,rate,962,833,1106,hospitalised,yes,SARI,100000,2010-2018,Kenya
12-14,rate,280,228,347,hospitalised,yes,SARI,100000,2010-2018,Kenya
15-17,rate,210,164,264,hospitalised,yes,SARI,100000,2010-2018,Kenya
18-20,rate,230,180,291,hospitalised,yes,SARI,100000,2010-2018,Kenya
21-23,rate,128,95,168,hospitalised,yes,SARI,100000,2010-2018,Kenya
12-23,rate,214,180,252,hospitalised,yes,SARI,100000,2010-2018,Kenya
<24,rate,579,500,667,hospitalised,yes,SARI,100000,2010-2018,Kenya
24-35,rate,88,73,109,hospitalised,yes,SARI,100000,2010-2018,Kenya
36-47,rate,43,33,55,hospitalised,yes,SARI,100000,2010-2018,Kenya
48-59,rate,9,6,14,hospitalised,yes,SARI,100000,2010-2018,Kenya
24-59 ,rate,46,38,56,hospitalised,yes,SARI,100000,2010-2018,Kenya
<60,rate,254,220,295,hospitalised,yes,SARI,100000,2010-2018,Kenya
<1,rate,12530,10966,14374,nonhospitalised,no,SARI,100000,2010-2018,Kenya
1,rate,20566,17851,23631,nonhospitalised,no,SARI,100000,2010-2018,Kenya
2,rate,15275,13290,17617,nonhospitalised,no,SARI,100000,2010-2018,Kenya
3,rate,15453,13472,17845,nonhospitalised,no,SARI,100000,2010-2018,Kenya
4,rate,14931,12984,17127,nonhospitalised,no,SARI,100000,2010-2018,Kenya
5,rate,16689,14617,19395,nonhospitalised,no,SARI,100000,2010-2018,Kenya
6,rate,16699,14582,19208,nonhospitalised,no,SARI,100000,2010-2018,Kenya
7,rate,14064,12352,16231,nonhospitalised,no,SARI,100000,2010-2018,Kenya
8,rate,13340,11523,15384,nonhospitalised,no,SARI,100000,2010-2018,Kenya
9,rate,10612,9278,12199,nonhospitalised,no,SARI,100000,2010-2018,Kenya
10,rate,12022,10575,13808,nonhospitalised,no,SARI,100000,2010-2018,Kenya
11,rate,9482,8291,10800,nonhospitalised,no,SARI,100000,2010-2018,Kenya
<12,rate,14343,12522,16333,nonhospitalised,no,SARI,100000,2010-2018,Kenya
12-14,rate,7894,6857,9032,nonhospitalised,no,SARI,100000,2010-2018,Kenya
15-17,rate,6529,5652,7507,nonhospitalised,no,SARI,100000,2010-2018,Kenya
18-20,rate,6484,5666,7402,nonhospitalised,no,SARI,100000,2010-2018,Kenya
21-23,rate,4468,3916,5073,nonhospitalised,no,SARI,100000,2010-2018,Kenya
12-23,rate,6385,5620,7316,nonhospitalised,no,SARI,100000,2010-2018,Kenya
<24,rate,10335,9041,11805,nonhospitalised,no,SARI,100000,2010-2018,Kenya
24-35,rate,3259,2858,3753,nonhospitalised,no,SARI,100000,2010-2018,Kenya
36-47,rate,2145,1859,2459,nonhospitalised,no,SARI,100000,2010-2018,Kenya
48-59,rate,1222,1062,1391,nonhospitalised,no,SARI,100000,2010-2018,Kenya
24-59 ,rate,2228,1920,2561,nonhospitalised,no,SARI,100000,2010-2018,Kenya
<60,rate,5450,4725,6255,nonhospitalised,no,SARI,100000,2010-2018,Kenya
<1,rate,4338,3705,5034,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
1,rate,7105,6056,8343,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
2,rate,5286,4512,6097,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
3,rate,3387,2904,3985,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
4,rate,3280,2779,3871,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
5,rate,3681,3119,4345,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
6,rate,2608,2184,3076,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
7,rate,2213,1876,2616,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
8,rate,2090,1745,2494,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
9,rate,1272,1036,1540,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
10,rate,1439,1188,1747,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
11,rate,1132,936,1351,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
<12,rate,2970,2570,3414,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
12-14,rate,865,704,1070,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
15-17,rate,647,505,814,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
18-20,rate,709,557,899,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
21-23,rate,396,295,519,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
12-23,rate,661,555,779,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
<24,rate,1787,1541,2057,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
24-35,rate,272,224,336,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
36-47,rate,133,101,170,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
48-59,rate,29,17,45,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
24-59 ,rate,143,118,173,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
<60,rate,784,679,909,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
<1,number,26179,23892,28806,medically_attended,no,ARI,1000,2010-2018,Kenya
1,number,45558,41756,49974,medically_attended,no,ARI,1000,2010-2018,Kenya
2,number,89291,80673,97916,medically_attended,no,ARI,1000,2010-2018,Kenya
3,number,112001,102555,123167,medically_attended,no,ARI,1000,2010-2018,Kenya
4,number,135553,124502,148597,medically_attended,no,ARI,1000,2010-2018,Kenya
5,number,156194,142365,172018,medically_attended,no,ARI,1000,2010-2018,Kenya
6,number,166152,152566,181937,medically_attended,no,ARI,1000,2010-2018,Kenya
7,number,160057,146639,175318,medically_attended,no,ARI,1000,2010-2018,Kenya
8,number,156060,142675,171236,medically_attended,no,ARI,1000,2010-2018,Kenya
9,number,153844,140841,168781,medically_attended,no,ARI,1000,2010-2018,Kenya
10,number,147889,135299,163005,medically_attended,no,ARI,1000,2010-2018,Kenya
11,number,123829,113277,136711,medically_attended,no,ARI,1000,2010-2018,Kenya
<12,number,1472071,1347895,1611586,medically_attended,no,ARI,1000,2010-2018,Kenya
12-14,number,348629,318674,384847,medically_attended,no,ARI,1000,2010-2018,Kenya
15-17,number,354851,325167,389582,medically_attended,no,ARI,1000,2010-2018,Kenya
18-20,number,342254,311197,376279,medically_attended,no,ARI,1000,2010-2018,Kenya
21-23,number,335106,306723,368980,medically_attended,no,ARI,1000,2010-2018,Kenya
12-23,number,1367166,1249300,1502924,medically_attended,no,ARI,1000,2010-2018,Kenya
<24,number,2839031,2596220,3118640,medically_attended,no,ARI,1000,2010-2018,Kenya
24-35,number,1561592,1431303,1722093,medically_attended,no,ARI,1000,2010-2018,Kenya
36-47,number,1418303,1298287,1563373,medically_attended,no,ARI,1000,2010-2018,Kenya
48-59,number,1374283,1256521,1517890,medically_attended,no,ARI,1000,2010-2018,Kenya
24-59,number,4330499,3943481,4774817,medically_attended,no,ARI,1000,2010-2018,Kenya
<60,number,6874295,6283156,7570009,medically_attended,no,ARI,1000,2010-2018,Kenya
<1,number,2545,1787,3433,medically_attended,yes,ARI,1000,2010-2018,Kenya
1,number,6029,4790,7523,medically_attended,yes,ARI,1000,2010-2018,Kenya
2,number,11739,9163,14631,medically_attended,yes,ARI,1000,2010-2018,Kenya
3,number,23213,19134,27542,medically_attended,yes,ARI,1000,2010-2018,Kenya
4,number,28012,23477,33458,medically_attended,yes,ARI,1000,2010-2018,Kenya
5,number,27293,22566,32433,medically_attended,yes,ARI,1000,2010-2018,Kenya
6,number,19677,15590,24467,medically_attended,yes,ARI,1000,2010-2018,Kenya
7,number,13951,10552,17905,medically_attended,yes,ARI,1000,2010-2018,Kenya
8,number,16087,12044,20787,medically_attended,yes,ARI,1000,2010-2018,Kenya
9,number,26532,21482,32432,medically_attended,yes,ARI,1000,2010-2018,Kenya
10,number,23111,18749,28717,medically_attended,yes,ARI,1000,2010-2018,Kenya
11,number,19271,14883,23905,medically_attended,yes,ARI,1000,2010-2018,Kenya
<12,number,252755,228024,281298,medically_attended,yes,ARI,1000,2010-2018,Kenya
12-14,number,43519,36387,52035,medically_attended,yes,ARI,1000,2010-2018,Kenya
15-17,number,33345,26074,41109,medically_attended,yes,ARI,1000,2010-2018,Kenya
18-20,number,28158,21102,35515,medically_attended,yes,ARI,1000,2010-2018,Kenya
21-23,number,31916,24003,40739,medically_attended,yes,ARI,1000,2010-2018,Kenya
12-23,number,135414,118907,155348,medically_attended,yes,ARI,1000,2010-2018,Kenya
<24,number,418648,380117,464726,medically_attended,yes,ARI,1000,2010-2018,Kenya
24-35,number,117356,94487,139710,medically_attended,yes,ARI,1000,2010-2018,Kenya
36-47,number,101581,78836,127063,medically_attended,yes,ARI,1000,2010-2018,Kenya
48-59,number,46831,30187,67624,medically_attended,yes,ARI,1000,2010-2018,Kenya
24-59,number,287072,243221,333520,medically_attended,yes,ARI,1000,2010-2018,Kenya
<60,number,819071,740189,912247,medically_attended,yes,ARI,1000,2010-2018,Kenya
<1,number,13963,12543,15640,non_medically_attended,no,ARI,1000,2010-2018,Kenya
1,number,24284,21844,27074,non_medically_attended,no,ARI,1000,2010-2018,Kenya
2,number,47377,42646,53144,non_medically_attended,no,ARI,1000,2010-2018,Kenya
3,number,59553,53709,66382,non_medically_attended,no,ARI,1000,2010-2018,Kenya
4,number,72103,64711,80395,non_medically_attended,no,ARI,1000,2010-2018,Kenya
5,number,83215,74763,92499,non_medically_attended,no,ARI,1000,2010-2018,Kenya
6,number,88323,79829,97379,non_medically_attended,no,ARI,1000,2010-2018,Kenya
7,number,85134,76872,94416,non_medically_attended,no,ARI,1000,2010-2018,Kenya
8,number,82897,74250,92984,non_medically_attended,no,ARI,1000,2010-2018,Kenya
9,number,81926,73567,91084,non_medically_attended,no,ARI,1000,2010-2018,Kenya
10,number,78546,70673,88134,non_medically_attended,no,ARI,1000,2010-2018,Kenya
11,number,65806,59245,73616,non_medically_attended,no,ARI,1000,2010-2018,Kenya
<12,number,779561,701818,873599,non_medically_attended,no,ARI,1000,2010-2018,Kenya
12-14,number,185014,165665,206202,non_medically_attended,no,ARI,1000,2010-2018,Kenya
15-17,number,188037,168254,209839,non_medically_attended,no,ARI,1000,2010-2018,Kenya
18-20,number,181880,163239,202484,non_medically_attended,no,ARI,1000,2010-2018,Kenya
21-23,number,178254,160126,197675,non_medically_attended,no,ARI,1000,2010-2018,Kenya
12-23,number,724685,653714,811317,non_medically_attended,no,ARI,1000,2010-2018,Kenya
<24,number,1505439,1351198,1676913,non_medically_attended,no,ARI,1000,2010-2018,Kenya
24-35,number,831207,752443,927360,non_medically_attended,no,ARI,1000,2010-2018,Kenya
36-47,number,755107,681090,843616,non_medically_attended,no,ARI,1000,2010-2018,Kenya
48-59,number,729940,655604,814268,non_medically_attended,no,ARI,1000,2010-2018,Kenya
24-59,number,2303046,2049923,2576370,non_medically_attended,no,ARI,1000,2010-2018,Kenya
<60,number,3663372,3290602,4072726,non_medically_attended,no,ARI,1000,2010-2018,Kenya
<1,number,1355,955,1824,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
1,number,3231,2506,4014,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
2,number,6227,4927,7775,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
3,number,12311,10249,14749,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
4,number,14822,12239,17977,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
5,number,14514,11764,17325,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
6,number,10455,8190,12979,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
7,number,7411,5622,9512,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
8,number,8577,6464,11266,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
9,number,14144,11288,17196,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
10,number,12260,9899,15379,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
11,number,10248,7808,12789,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
<12,number,133782,119562,151120,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
12-14,number,23107,19243,27512,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
15-17,number,17736,13732,21929,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
18-20,number,14949,11351,18981,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
21-23,number,16814,12825,22408,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
12-23,number,71899,62638,84152,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
<24,number,222158,198254,248776,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
24-35,number,62535,50214,75307,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
36-47,number,53949,41803,67608,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
48-59,number,24854,15689,36090,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
24-59,number,151948,127668,180163,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
<60,number,435260,389920,489625,non_medically_attended,yes,ARI,1000,2010-2018,Kenya
<1,number,5167,4522,5928,hospitalised,no,SARI,100000,2010-2018,Kenya
1,number,7558,6560,8684,hospitalised,no,SARI,100000,2010-2018,Kenya
2,number,6186,5381,7134,hospitalised,no,SARI,100000,2010-2018,Kenya
3,number,5581,4866,6445,hospitalised,no,SARI,100000,2010-2018,Kenya
4,number,5453,4742,6254,hospitalised,no,SARI,100000,2010-2018,Kenya
5,number,6056,5304,7038,hospitalised,no,SARI,100000,2010-2018,Kenya
6,number,6060,5292,6970,hospitalised,no,SARI,100000,2010-2018,Kenya
7,number,4820,4233,5563,hospitalised,no,SARI,100000,2010-2018,Kenya
8,number,4933,4261,5689,hospitalised,no,SARI,100000,2010-2018,Kenya
9,number,4621,4040,5312,hospitalised,no,SARI,100000,2010-2018,Kenya
10,number,4356,3831,5003,hospitalised,no,SARI,100000,2010-2018,Kenya
11,number,3474,3037,3956,hospitalised,no,SARI,100000,2010-2018,Kenya
<12,number,64739,56517,73719,hospitalised,no,SARI,100000,2010-2018,Kenya
12-14,number,8139,7069,9311,hospitalised,no,SARI,100000,2010-2018,Kenya
15-17,number,6172,5343,7096,hospitalised,no,SARI,100000,2010-2018,Kenya
18-20,number,6100,5331,6964,hospitalised,no,SARI,100000,2010-2018,Kenya
21-23,number,4429,3882,5029,hospitalised,no,SARI,100000,2010-2018,Kenya
12-23,number,24954,21966,28594,hospitalised,no,SARI,100000,2010-2018,Kenya
<24,number,87036,76141,99424,hospitalised,no,SARI,100000,2010-2018,Kenya
24-35,number,14959,13122,17228,hospitalised,no,SARI,100000,2010-2018,Kenya
36-47,number,9499,8232,10888,hospitalised,no,SARI,100000,2010-2018,Kenya
48-59,number,5496,4778,6259,hospitalised,no,SARI,100000,2010-2018,Kenya
24-59 ,number,30111,25949,34612,hospitalised,no,SARI,100000,2010-2018,Kenya
<60,number,119573,103668,137224,hospitalised,no,SARI,100000,2010-2018,Kenya
<1,number,1789,1528,2076,hospitalised,yes,SARI,100000,2010-2018,Kenya
1,number,2611,2226,3066,hospitalised,yes,SARI,100000,2010-2018,Kenya
2,number,2140,1827,2469,hospitalised,yes,SARI,100000,2010-2018,Kenya
3,number,1223,1049,1439,hospitalised,yes,SARI,100000,2010-2018,Kenya
4,number,1198,1015,1413,hospitalised,yes,SARI,100000,2010-2018,Kenya
5,number,1336,1132,1577,hospitalised,yes,SARI,100000,2010-2018,Kenya
6,number,947,793,1116,hospitalised,yes,SARI,100000,2010-2018,Kenya
7,number,758,643,897,hospitalised,yes,SARI,100000,2010-2018,Kenya
8,number,773,645,922,hospitalised,yes,SARI,100000,2010-2018,Kenya
9,number,554,451,671,hospitalised,yes,SARI,100000,2010-2018,Kenya
10,number,521,430,633,hospitalised,yes,SARI,100000,2010-2018,Kenya
11,number,415,343,495,hospitalised,yes,SARI,100000,2010-2018,Kenya
<12,number,13405,11598,15409,hospitalised,yes,SARI,100000,2010-2018,Kenya
12-14,number,892,725,1103,hospitalised,yes,SARI,100000,2010-2018,Kenya
15-17,number,612,478,770,hospitalised,yes,SARI,100000,2010-2018,Kenya
18-20,number,667,524,845,hospitalised,yes,SARI,100000,2010-2018,Kenya
21-23,number,392,292,515,hospitalised,yes,SARI,100000,2010-2018,Kenya
12-23,number,2582,2168,3043,hospitalised,yes,SARI,100000,2010-2018,Kenya
<24,number,15054,12982,17327,hospitalised,yes,SARI,100000,2010-2018,Kenya
24-35,number,1249,1027,1542,hospitalised,yes,SARI,100000,2010-2018,Kenya
36-47,number,587,446,753,hospitalised,yes,SARI,100000,2010-2018,Kenya
48-59,number,131,76,201,hospitalised,yes,SARI,100000,2010-2018,Kenya
24-59 ,number,1937,1598,2342,hospitalised,yes,SARI,100000,2010-2018,Kenya
<60,number,17202,14904,19942,hospitalised,yes,SARI,100000,2010-2018,Kenya
<1,number,15946,13955,18293,nonhospitalised,no,SARI,100000,2010-2018,Kenya
1,number,23322,20243,26797,nonhospitalised,no,SARI,100000,2010-2018,Kenya
2,number,19087,16606,22013,nonhospitalised,no,SARI,100000,2010-2018,Kenya
