variable,price,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
incremental cost/DALY (disc) averted (US$),3,ZAF,MV,South Africa,1649,3$(MV),"ZAF
$3
MV",-1650.9,-1635.1,-1719.1,-1565.1,-1854.3,-1389.7
intervention cost (million US$),3,ZAF,MV,South Africa,2597000,3$(MV),"ZAF
$3
MV",2.6,2.6,2.6,2.6,2.6,2.6
total DALY averted (US$),3,ZAF,MV,South Africa,10310,3$(MV),"ZAF
$3
MV",10298.9,10307.5,9545,11062,8087.9,12495.1
total DALY (disc) averted (US$),3,ZAF,MV,South Africa,4746,3$(MV),"ZAF
$3
MV",4742.7,4746,4402.2,5084,3749,5727.1
total medical cost averted (million US$),3,ZAF,MV,South Africa,10360000,3$(MV),"ZAF
$3
MV",10.4,10.4,9.5,11.3,7.8,13.2
incremental cost/DALY averted (US$),3,ZAF,MV,South Africa,759,3$(MV),"ZAF
$3
MV",-760.3,-752.8,-790.1,-721.8,-849.9,-644.2
incremental cost (million US$),10,KEN,mAb,Kenya,2658000,10$(mAb),"KEN
$10
mAb",6.4,6.4,6.3,6.5,6,6.8
incremental cost/DALY (disc) averted (US$),10,KEN,mAb,Kenya,263,10$(mAb),"KEN
$10
mAb",634.3,636.2,581.3,697.7,487,855.4
intervention cost (million US$),10,KEN,mAb,Kenya,5634000,10$(mAb),"KEN
$10
mAb",9.4,9.4,9.4,9.4,9.4,9.4
total DALY averted (US$),10,KEN,mAb,Kenya,23030,10$(mAb),"KEN
$10
mAb",23093,23030.5,21402.5,24744.2,18057.8,28408
total DALY (disc) averted (US$),10,KEN,mAb,Kenya,10060,10$(mAb),"KEN
$10
mAb",10094.8,10064.5,9364.8,10809.2,7918,12388
total medical cost averted (million US$),10,KEN,mAb,Kenya,2975000,10$(mAb),"KEN
$10
mAb",3,3,2.9,3.1,2.6,3.4
incremental cost/DALY averted (US$),10,KEN,mAb,Kenya,115,10$(mAb),"KEN
$10
mAb",277.3,278,253.9,305.3,212.4,375.1
incremental cost (million US$),5,KEN,MV,Kenya,1303000,5$(MV),"KEN
$5
MV",3.2,3.2,3.1,3.3,2.9,3.5
incremental cost/DALY (disc) averted (US$),5,KEN,MV,Kenya,167,5$(MV),"KEN
$5
MV",410.8,413.1,364.3,469.6,289.8,610.2
intervention cost (million US$),5,KEN,MV,Kenya,2882000,5$(MV),"KEN
$5
MV",4.8,4.8,4.8,4.8,4.8,4.8
total DALY averted (US$),5,KEN,MV,Kenya,17900,5$(MV),"KEN
$5
MV",18003.3,17900.5,16267.5,19630.8,13309,23064.2
total DALY (disc) averted (US$),5,KEN,MV,Kenya,7795,5$(MV),"KEN
$5
MV",7838.4,7795,7091.2,8536.8,5817.5,10008.5
total medical cost averted (million US$),5,KEN,MV,Kenya,1579000,5$(MV),"KEN
$5
MV",1.6,1.6,1.5,1.7,1.2,1.9
incremental cost/DALY averted (US$),5,KEN,MV,Kenya,73,5$(MV),"KEN
$5
MV",178.9,179.9,158.4,204.7,125.7,266.7
incremental cost (million US$),10,ZAF,mAb,South Africa,8369000,10$(mAb),"ZAF
$10
mAb",-5,-5,-5.9,-4.1,-7.8,-2.3
incremental cost/DALY (disc) averted (US$),10,ZAF,mAb,South Africa,1260,10$(mAb),"ZAF
$10
mAb",-756,-750.3,-844.3,-650.5,-1011.7,-426.9
intervention cost (million US$),10,ZAF,mAb,South Africa,5103000,10$(mAb),"ZAF
$10
mAb",8.5,8.5,8.5,8.5,8.5,8.5
total DALY averted (US$),10,ZAF,mAb,South Africa,14320,10$(mAb),"ZAF
$10
mAb",14298.1,14321,13477.8,15145,11861,16728.2
total DALY (disc) averted (US$),10,ZAF,mAb,South Africa,6624,10$(mAb),"ZAF
$10
mAb",6614.1,6624,6241,7000.2,5505,7710
total medical cost averted (million US$),10,ZAF,mAb,South Africa,13470000,10$(mAb),"ZAF
$10
mAb",13.5,13.5,12.6,14.4,10.8,16.3
incremental cost/DALY averted (US$),10,ZAF,mAb,South Africa,583,10$(mAb),"ZAF
$10
mAb",-349.7,-347,-390.2,-301.2,-466.3,-198.1
incremental cost (million US$),5,ZAF,MV,South Africa,7766000,5$(MV),"ZAF
$5
MV",-6.1,-6,-7,-5.2,-8.9,-3.5
incremental cost/DALY (disc) averted (US$),5,ZAF,MV,South Africa,1649,5$(MV),"ZAF
$5
MV",-1285.5,-1269.8,-1378.2,-1171.4,-1551.7,-927.4
intervention cost (million US$),5,ZAF,MV,South Africa,2597000,5$(MV),"ZAF
$5
MV",4.3,4.3,4.3,4.3,4.3,4.3
total DALY averted (US$),5,ZAF,MV,South Africa,10310,5$(MV),"ZAF
$5
MV",10298.9,10307.5,9545,11062,8087.9,12495.1
total DALY (disc) averted (US$),5,ZAF,MV,South Africa,4746,5$(MV),"ZAF
$5
MV",4742.7,4746,4402.2,5084,3749,5727.1
total medical cost averted (million US$),5,ZAF,MV,South Africa,10360000,5$(MV),"ZAF
$5
MV",10.4,10.4,9.5,11.3,7.8,13.2
incremental cost/DALY averted (US$),5,ZAF,MV,South Africa,759,5$(MV),"ZAF
$5
MV",-592,-584.7,-633.4,-540.2,-711.2,-429.9
incremental cost (million US$),20,KEN,mAb,Kenya,2658000,20$(mAb),"KEN
$20
mAb",15.8,15.8,15.7,15.9,15.4,16.2
incremental cost/DALY (disc) averted (US$),20,KEN,mAb,Kenya,263,20$(mAb),"KEN
$20
mAb",1563.8,1568.5,1449.4,1699.6,1244.5,2040.5
intervention cost (million US$),20,KEN,mAb,Kenya,5634000,20$(mAb),"KEN
$20
mAb",18.8,18.8,18.8,18.8,18.8,18.8
total DALY averted (US$),20,KEN,mAb,Kenya,23030,20$(mAb),"KEN
$20
mAb",23093,23030.5,21402.5,24744.2,18057.8,28408
total DALY (disc) averted (US$),20,KEN,mAb,Kenya,10060,20$(mAb),"KEN
$20
mAb",10094.8,10064.5,9364.8,10809.2,7918,12388
total medical cost averted (million US$),20,KEN,mAb,Kenya,2975000,20$(mAb),"KEN
$20
mAb",3,3,2.9,3.1,2.6,3.4
incremental cost/DALY averted (US$),20,KEN,mAb,Kenya,115,20$(mAb),"KEN
$20
mAb",683.6,685.5,633.1,743.7,542.7,894.7
incremental cost (million US$),10,KEN,MV,Kenya,1303000,10$(MV),"KEN
$10
MV",8,8,7.9,8.1,7.7,8.3
incremental cost/DALY (disc) averted (US$),10,KEN,MV,Kenya,167,10$(MV),"KEN
$10
MV",1023.2,1028.9,926.6,1146.5,769.3,1435.3
intervention cost (million US$),10,KEN,MV,Kenya,2882000,10$(MV),"KEN
$10
MV",9.6,9.6,9.6,9.6,9.6,9.6
total DALY averted (US$),10,KEN,MV,Kenya,17900,10$(MV),"KEN
$10
MV",18003.3,17900.5,16267.5,19630.8,13309,23064.2
total DALY (disc) averted (US$),10,KEN,MV,Kenya,7795,10$(MV),"KEN
$10
MV",7838.4,7795,7091.2,8536.8,5817.5,10008.5
total medical cost averted (million US$),10,KEN,MV,Kenya,1579000,10$(MV),"KEN
$10
MV",1.6,1.6,1.5,1.7,1.2,1.9
incremental cost/DALY averted (US$),10,KEN,MV,Kenya,73,10$(MV),"KEN
$10
MV",445.5,448,402.9,499.8,333.9,627.4
incremental cost (million US$),20,ZAF,mAb,South Africa,8369000,20$(mAb),"ZAF
$20
mAb",3.5,3.5,2.6,4.4,0.7,6.2
incremental cost/DALY (disc) averted (US$),20,ZAF,mAb,South Africa,1260,20$(mAb),"ZAF
$20
mAb",529.2,532.9,370,711.4,90.8,1117.2
intervention cost (million US$),20,ZAF,mAb,South Africa,5103000,20$(mAb),"ZAF
$20
mAb",17,17,17,17,17,17
total DALY averted (US$),20,ZAF,mAb,South Africa,14320,20$(mAb),"ZAF
$20
mAb",14298.1,14321,13477.8,15145,11861,16728.2
total DALY (disc) averted (US$),20,ZAF,mAb,South Africa,6624,20$(mAb),"ZAF
$20
mAb",6614.1,6624,6241,7000.2,5505,7710
total medical cost averted (million US$),20,ZAF,mAb,South Africa,13470000,20$(mAb),"ZAF
$20
mAb",13.5,13.5,12.6,14.4,10.8,16.3
incremental cost/DALY averted (US$),20,ZAF,mAb,South Africa,583,20$(mAb),"ZAF
$20
mAb",244.8,246.5,171,329.4,41.8,518.5
incremental cost (million US$),10,ZAF,MV,South Africa,7766000,10$(MV),"ZAF
$10
MV",-1.8,-1.7,-2.7,-0.8,-4.6,0.9
incremental cost/DALY (disc) averted (US$),10,ZAF,MV,South Africa,1649,10$(MV),"ZAF
$10
MV",-371.8,-356.8,-525.8,-187,-795.1,228.5
intervention cost (million US$),10,ZAF,MV,South Africa,2597000,10$(MV),"ZAF
$10
MV",8.7,8.7,8.7,8.7,8.7,8.7
total DALY averted (US$),10,ZAF,MV,South Africa,10310,10$(MV),"ZAF
$10
MV",10298.9,10307.5,9545,11062,8087.9,12495.1
total DALY (disc) averted (US$),10,ZAF,MV,South Africa,4746,10$(MV),"ZAF
$10
MV",4742.7,4746,4402.2,5084,3749,5727.1
total medical cost averted (million US$),10,ZAF,MV,South Africa,10360000,10$(MV),"ZAF
$10
MV",10.4,10.4,9.5,11.3,7.8,13.2
incremental cost/DALY averted (US$),10,ZAF,MV,South Africa,759,10$(MV),"ZAF
$10
MV",-171.2,-164.3,-241.7,-86.3,-364.4,105.9
incremental cost (million US$),25,KEN,mAb,Kenya,2658000,25$(mAb),"KEN
$25
mAb",20.5,20.5,20.4,20.6,20.1,20.8
incremental cost/DALY (disc) averted (US$),25,KEN,mAb,Kenya,263,25$(mAb),"KEN
$25
mAb",2028.6,2034.7,1883.4,2200.6,1623.2,2633
intervention cost (million US$),25,KEN,mAb,Kenya,5634000,25$(mAb),"KEN
$25
mAb",23.5,23.5,23.5,23.5,23.5,23.5
total DALY averted (US$),25,KEN,mAb,Kenya,23030,25$(mAb),"KEN
$25
mAb",23093,23030.5,21402.5,24744.2,18057.8,28408
total DALY (disc) averted (US$),25,KEN,mAb,Kenya,10060,25$(mAb),"KEN
$25
mAb",10094.8,10064.5,9364.8,10809.2,7918,12388
total medical cost averted (million US$),25,KEN,mAb,Kenya,2975000,25$(mAb),"KEN
$25
mAb",3,3,2.9,3.1,2.6,3.4
incremental cost/DALY averted (US$),25,KEN,mAb,Kenya,115,25$(mAb),"KEN
$25
mAb",886.8,889.2,822.8,962.9,707.8,1154.5
incremental cost (million US$),12.5,KEN,MV,Kenya,1303000,12.5$(MV),"KEN
$12.5
MV",10.4,10.4,10.3,10.5,10.1,10.8
incremental cost/DALY (disc) averted (US$),12.5,KEN,MV,Kenya,167,12.5$(MV),"KEN
$12.5
MV",1329.3,1336.8,1207.7,1484.9,1009.1,1847.9
intervention cost (million US$),12.5,KEN,MV,Kenya,2882000,12.5$(MV),"KEN
$12.5
MV",12,12,12,12,12,12
total DALY averted (US$),12.5,KEN,MV,Kenya,17900,12.5$(MV),"KEN
$12.5
MV",18003.3,17900.5,16267.5,19630.8,13309,23064.2
total DALY (disc) averted (US$),12.5,KEN,MV,Kenya,7795,12.5$(MV),"KEN
$12.5
MV",7838.4,7795,7091.2,8536.8,5817.5,10008.5
total medical cost averted (million US$),12.5,KEN,MV,Kenya,1579000,12.5$(MV),"KEN
$12.5
MV",1.6,1.6,1.5,1.7,1.2,1.9
incremental cost/DALY averted (US$),12.5,KEN,MV,Kenya,73,12.5$(MV),"KEN
$12.5
MV",578.8,582.1,525.2,647.3,437.9,807.7
incremental cost (million US$),25,ZAF,mAb,South Africa,8369000,25$(mAb),"ZAF
$25
mAb",7.8,7.8,6.8,8.7,4.9,10.4
incremental cost/DALY (disc) averted (US$),25,ZAF,mAb,South Africa,1260,25$(mAb),"ZAF
$25
mAb",1171.7,1174.5,977.1,1392.4,642,1889.2
intervention cost (million US$),25,ZAF,mAb,South Africa,5103000,25$(mAb),"ZAF
$25
mAb",21.2,21.2,21.2,21.2,21.2,21.2
total DALY averted (US$),25,ZAF,mAb,South Africa,14320,25$(mAb),"ZAF
$25
mAb",14298.1,14321,13477.8,15145,11861,16728.2
total DALY (disc) averted (US$),25,ZAF,mAb,South Africa,6624,25$(mAb),"ZAF
$25
mAb",6614.1,6624,6241,7000.2,5505,7710
total medical cost averted (million US$),25,ZAF,mAb,South Africa,13470000,25$(mAb),"ZAF
$25
mAb",13.5,13.5,12.6,14.4,10.8,16.3
incremental cost/DALY averted (US$),25,ZAF,mAb,South Africa,583,25$(mAb),"ZAF
$25
mAb",542,543.3,451.6,644.8,295.9,876.8
incremental cost (million US$),12.5,ZAF,MV,South Africa,7766000,12.5$(MV),"ZAF
$12.5
MV",0.4,0.5,-0.5,1.3,-2.4,3
incremental cost/DALY (disc) averted (US$),12.5,ZAF,MV,South Africa,1649,12.5$(MV),"ZAF
$12.5
MV",85,99.7,-99.7,305.1,-416.7,806.4
intervention cost (million US$),12.5,ZAF,MV,South Africa,2597000,12.5$(MV),"ZAF
$12.5
MV",10.8,10.8,10.8,10.8,10.8,10.8
total DALY averted (US$),12.5,ZAF,MV,South Africa,10310,12.5$(MV),"ZAF
$12.5
MV",10298.9,10307.5,9545,11062,8087.9,12495.1
total DALY (disc) averted (US$),12.5,ZAF,MV,South Africa,4746,12.5$(MV),"ZAF
$12.5
MV",4742.7,4746,4402.2,5084,3749,5727.1
total medical cost averted (million US$),12.5,ZAF,MV,South Africa,10360000,12.5$(MV),"ZAF
$12.5
MV",10.4,10.4,9.5,11.3,7.8,13.2
incremental cost/DALY averted (US$),12.5,ZAF,MV,South Africa,759,12.5$(MV),"ZAF
$12.5
MV",39.2,45.9,-45.8,140.7,-191,373.8
incremental cost (million US$),30,KEN,mAb,Kenya,2658000,30$(mAb),"KEN
$30
mAb",25.2,25.2,25,25.3,24.8,25.5
incremental cost/DALY (disc) averted (US$),30,KEN,mAb,Kenya,263,30$(mAb),"KEN
$30
mAb",2493.4,2500.9,2317.5,2701.6,2001.9,3225.6
intervention cost (million US$),30,KEN,mAb,Kenya,5634000,30$(mAb),"KEN
$30
mAb",28.1,28.1,28.1,28.1,28.1,28.1
total DALY averted (US$),30,KEN,mAb,Kenya,23030,30$(mAb),"KEN
$30
mAb",23093,23030.5,21402.5,24744.2,18057.8,28408
total DALY (disc) averted (US$),30,KEN,mAb,Kenya,10060,30$(mAb),"KEN
$30
mAb",10094.8,10064.5,9364.8,10809.2,7918,12388
total medical cost averted (million US$),30,KEN,mAb,Kenya,2975000,30$(mAb),"KEN
$30
mAb",3,3,2.9,3.1,2.6,3.4
incremental cost/DALY averted (US$),30,KEN,mAb,Kenya,115,30$(mAb),"KEN
$30
mAb",1089.9,1092.9,1012.4,1182.1,873,1414.3
incremental cost (million US$),15,KEN,MV,Kenya,1303000,15$(MV),"KEN
$15
MV",12.8,12.8,12.7,12.9,12.5,13.1
incremental cost/DALY (disc) averted (US$),15,KEN,MV,Kenya,167,15$(MV),"KEN
$15
MV",1635.5,1644.6,1488.9,1823.4,1248.9,2260.4
intervention cost (million US$),15,KEN,MV,Kenya,2882000,15$(MV),"KEN
$15
MV",14.4,14.4,14.4,14.4,14.4,14.4
total DALY averted (US$),15,KEN,MV,Kenya,17900,15$(MV),"KEN
$15
MV",18003.3,17900.5,16267.5,19630.8,13309,23064.2
total DALY (disc) averted (US$),15,KEN,MV,Kenya,7795,15$(MV),"KEN
$15
MV",7838.4,7795,7091.2,8536.8,5817.5,10008.5
total medical cost averted (million US$),15,KEN,MV,Kenya,1579000,15$(MV),"KEN
$15
MV",1.6,1.6,1.5,1.7,1.2,1.9
incremental cost/DALY averted (US$),15,KEN,MV,Kenya,73,15$(MV),"KEN
$15
MV",712.1,716.2,647.5,794.8,542,988.1
incremental cost (million US$),30,ZAF,mAb,South Africa,8369000,30$(mAb),"ZAF
$30
mAb",12,12,11.1,12.9,9.2,14.7
incremental cost/DALY (disc) averted (US$),30,ZAF,mAb,South Africa,1260,30$(mAb),"ZAF
$30
mAb",1814.3,1816.1,1584.2,2073.4,1193.2,2661.2
intervention cost (million US$),30,ZAF,mAb,South Africa,5103000,30$(mAb),"ZAF
$30
mAb",25.5,25.5,25.5,25.5,25.5,25.5
total DALY averted (US$),30,ZAF,mAb,South Africa,14320,30$(mAb),"ZAF
$30
mAb",14298.1,14321,13477.8,15145,11861,16728.2
total DALY (disc) averted (US$),30,ZAF,mAb,South Africa,6624,30$(mAb),"ZAF
$30
mAb",6614.1,6624,6241,7000.2,5505,7710
total medical cost averted (million US$),30,ZAF,mAb,South Africa,13470000,30$(mAb),"ZAF
$30
mAb",13.5,13.5,12.6,14.4,10.8,16.3
incremental cost/DALY averted (US$),30,ZAF,mAb,South Africa,583,30$(mAb),"ZAF
$30
mAb",839.3,840,732.3,960.1,550,1235.1
incremental cost (million US$),15,ZAF,MV,South Africa,7766000,15$(MV),"ZAF
$15
MV",2.6,2.6,1.7,3.5,-0.2,5.2
incremental cost/DALY (disc) averted (US$),15,ZAF,MV,South Africa,1649,15$(MV),"ZAF
$15
MV",541.9,556.3,326.5,797.3,-38.4,1384.4
intervention cost (million US$),15,ZAF,MV,South Africa,2597000,15$(MV),"ZAF
$15
MV",13,13,13,13,13,13
total DALY averted (US$),15,ZAF,MV,South Africa,10310,15$(MV),"ZAF
$15
MV",10298.9,10307.5,9545,11062,8087.9,12495.1
total DALY (disc) averted (US$),15,ZAF,MV,South Africa,4746,15$(MV),"ZAF
$15
MV",4742.7,4746,4402.2,5084,3749,5727.1
total medical cost averted (million US$),15,ZAF,MV,South Africa,10360000,15$(MV),"ZAF
$15
MV",10.4,10.4,9.5,11.3,7.8,13.2
incremental cost/DALY averted (US$),15,ZAF,MV,South Africa,759,15$(MV),"ZAF
$15
MV",249.5,256.1,150.1,367.7,-17.6,641.7
incremental cost (million US$),40,KEN,mAb,Kenya,2658000,40$(mAb),"KEN
$40
mAb",34.6,34.6,34.4,34.7,34.2,34.9
incremental cost/DALY (disc) averted (US$),40,KEN,mAb,Kenya,263,40$(mAb),"KEN
$40
mAb",3422.9,3433.2,3185.5,3703.6,2759.4,4410.6
intervention cost (million US$),40,KEN,mAb,Kenya,5634000,40$(mAb),"KEN
$40
mAb",37.5,37.5,37.5,37.5,37.5,37.5
total DALY averted (US$),40,KEN,mAb,Kenya,23030,40$(mAb),"KEN
$40
mAb",23093,23030.5,21402.5,24744.2,18057.8,28408
total DALY (disc) averted (US$),40,KEN,mAb,Kenya,10060,40$(mAb),"KEN
$40
mAb",10094.8,10064.5,9364.8,10809.2,7918,12388
total medical cost averted (million US$),40,KEN,mAb,Kenya,2975000,40$(mAb),"KEN
$40
mAb",3,3,2.9,3.1,2.6,3.4
incremental cost/DALY averted (US$),40,KEN,mAb,Kenya,115,40$(mAb),"KEN
$40
mAb",1496.3,1500.3,1391.6,1620.5,1203.3,1934
incremental cost (million US$),20,KEN,MV,Kenya,1303000,20$(MV),"KEN
$20
MV",17.6,17.6,17.5,17.7,17.3,18
incremental cost/DALY (disc) averted (US$),20,KEN,MV,Kenya,167,20$(MV),"KEN
$20
MV",2247.9,2260.4,2051.1,2500.3,1728.5,3085.5
intervention cost (million US$),20,KEN,MV,Kenya,2882000,20$(MV),"KEN
$20
MV",19.2,19.2,19.2,19.2,19.2,19.2
total DALY averted (US$),20,KEN,MV,Kenya,17900,20$(MV),"KEN
$20
MV",18003.3,17900.5,16267.5,19630.8,13309,23064.2
total DALY (disc) averted (US$),20,KEN,MV,Kenya,7795,20$(MV),"KEN
$20
MV",7838.4,7795,7091.2,8536.8,5817.5,10008.5
total medical cost averted (million US$),20,KEN,MV,Kenya,1579000,20$(MV),"KEN
$20
MV",1.6,1.6,1.5,1.7,1.2,1.9
incremental cost/DALY averted (US$),20,KEN,MV,Kenya,73,20$(MV),"KEN
$20
MV",978.7,984.3,892,1089.9,750.1,1348.7
incremental cost (million US$),40,ZAF,mAb,South Africa,8369000,40$(mAb),"ZAF
$40
mAb",20.5,20.5,19.6,21.4,17.7,23.1
incremental cost/DALY (disc) averted (US$),40,ZAF,mAb,South Africa,1260,40$(mAb),"ZAF
$40
mAb",3099.4,3099.3,2798.5,3435.3,2295.7,4205.3
intervention cost (million US$),40,ZAF,mAb,South Africa,5103000,40$(mAb),"ZAF
$40
mAb",34,34,34,34,34,34
total DALY averted (US$),40,ZAF,mAb,South Africa,14320,40$(mAb),"ZAF
$40
mAb",14298.1,14321,13477.8,15145,11861,16728.2
total DALY (disc) averted (US$),40,ZAF,mAb,South Africa,6624,40$(mAb),"ZAF
$40
mAb",6614.1,6624,6241,7000.2,5505,7710
total medical cost averted (million US$),40,ZAF,mAb,South Africa,13470000,40$(mAb),"ZAF
$40
mAb",13.5,13.5,12.6,14.4,10.8,16.3
incremental cost/DALY averted (US$),40,ZAF,mAb,South Africa,583,40$(mAb),"ZAF
$40
mAb",1433.8,1433.6,1293.5,1590.8,1058.1,1951.8
incremental cost (million US$),20,ZAF,MV,South Africa,7766000,20$(MV),"ZAF
$20
MV",6.9,7,6,7.8,4.1,9.5
incremental cost/DALY (disc) averted (US$),20,ZAF,MV,South Africa,1649,20$(MV),"ZAF
$20
MV",1455.6,1469.3,1178.9,1781.7,718.2,2540.2
intervention cost (million US$),20,ZAF,MV,South Africa,2597000,20$(MV),"ZAF
$20
MV",17.3,17.3,17.3,17.3,17.3,17.3
total DALY averted (US$),20,ZAF,MV,South Africa,10310,20$(MV),"ZAF
$20
MV",10298.9,10307.5,9545,11062,8087.9,12495.1
total DALY (disc) averted (US$),20,ZAF,MV,South Africa,4746,20$(MV),"ZAF
$20
MV",4742.7,4746,4402.2,5084,3749,5727.1
total medical cost averted (million US$),20,ZAF,MV,South Africa,10360000,20$(MV),"ZAF
$20
MV",10.4,10.4,9.5,11.3,7.8,13.2
incremental cost/DALY averted (US$),20,ZAF,MV,South Africa,759,20$(MV),"ZAF
$20
MV",670.3,676.5,541.8,821.7,329.2,1177.5
incremental cost (million US$),50,KEN,mAb,Kenya,2658000,50$(mAb),"KEN
$50
mAb",43.9,43.9,43.8,44.1,43.6,44.3
incremental cost/DALY (disc) averted (US$),50,KEN,mAb,Kenya,263,50$(mAb),"KEN
$50
mAb",4352.4,4365.5,4053.6,4705.6,3516.8,5595.7
intervention cost (million US$),50,KEN,mAb,Kenya,5634000,50$(mAb),"KEN
$50
mAb",46.9,46.9,46.9,46.9,46.9,46.9
total DALY averted (US$),50,KEN,mAb,Kenya,23030,50$(mAb),"KEN
$50
mAb",23093,23030.5,21402.5,24744.2,18057.8,28408
total DALY (disc) averted (US$),50,KEN,mAb,Kenya,10060,50$(mAb),"KEN
$50
mAb",10094.8,10064.5,9364.8,10809.2,7918,12388
total medical cost averted (million US$),50,KEN,mAb,Kenya,2975000,50$(mAb),"KEN
$50
mAb",3,3,2.9,3.1,2.6,3.4
incremental cost/DALY averted (US$),50,KEN,mAb,Kenya,115,50$(mAb),"KEN
$50
mAb",1902.6,1907.8,1770.8,2058.9,1533.6,2453.6
incremental cost (million US$),25,KEN,MV,Kenya,1303000,25$(MV),"KEN
$25
MV",22.4,22.4,22.3,22.5,22.1,22.8
incremental cost/DALY (disc) averted (US$),25,KEN,MV,Kenya,167,25$(MV),"KEN
$25
MV",2860.3,2876.2,2613.4,3177.2,2208.1,3910.6
intervention cost (million US$),25,KEN,MV,Kenya,2882000,25$(MV),"KEN
$25
MV",24,24,24,24,24,24
total DALY averted (US$),25,KEN,MV,Kenya,17900,25$(MV),"KEN
$25
MV",18003.3,17900.5,16267.5,19630.8,13309,23064.2
total DALY (disc) averted (US$),25,KEN,MV,Kenya,7795,25$(MV),"KEN
$25
MV",7838.4,7795,7091.2,8536.8,5817.5,10008.5
total medical cost averted (million US$),25,KEN,MV,Kenya,1579000,25$(MV),"KEN
$25
MV",1.6,1.6,1.5,1.7,1.2,1.9
incremental cost/DALY averted (US$),25,KEN,MV,Kenya,73,25$(MV),"KEN
$25
MV",1245.3,1252.5,1136.5,1385,958.2,1709.4
incremental cost (million US$),50,ZAF,mAb,South Africa,8369000,50$(mAb),"ZAF
$50
mAb",29,29,28.1,29.9,26.2,31.6
incremental cost/DALY (disc) averted (US$),50,ZAF,mAb,South Africa,1260,50$(mAb),"ZAF
$50
mAb",4384.6,4382.5,4012.7,4797.3,3398.2,5749.3
intervention cost (million US$),50,ZAF,mAb,South Africa,5103000,50$(mAb),"ZAF
$50
mAb",42.5,42.5,42.5,42.5,42.5,42.5
