variable,price,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
incremental cost/DALY averted (US$),3,KEN,MV,Kenya,31,3$(MV),"KEN
$3
MV",30.9,30.9,25.8,36.6,17.1,47.3
incremental cost (million US$),6,ZAF,mAb,South Africa,12330000,6$(mAb),"ZAF
$6
mAb",-12.4,-12.3,-13.2,-11.6,-14.9,-10.1
incremental cost/DALY (disc) averted (US$),6,ZAF,mAb,South Africa,1476,6$(mAb),"ZAF
$6
mAb",-1484.1,-1478.3,-1533.4,-1428.6,-1634.9,-1327.9
intervention cost (million US$),6,ZAF,mAb,South Africa,5103000,6$(mAb),"ZAF
$6
mAb",5.1,5.1,5.1,5.1,5.1,5.1
total DALY averted (US$),6,ZAF,mAb,South Africa,17960,6$(mAb),"ZAF
$6
mAb",17985.6,17965,17424,18516,16425.9,19685
total DALY (disc) averted (US$),6,ZAF,mAb,South Africa,8341,6$(mAb),"ZAF
$6
mAb",8348.6,8340.5,8092,8589,7636,9120
total medical cost averted (million US$),6,ZAF,mAb,South Africa,17430000,6$(mAb),"ZAF
$6
mAb",17.5,17.4,16.7,18.3,15.2,20
incremental cost/DALY averted (US$),6,ZAF,mAb,South Africa,685,6$(mAb),"ZAF
$6
mAb",-688.9,-686.3,-711.3,-663.5,-757.4,-617.3
incremental cost (million US$),3,ZAF,MV,South Africa,11240000,3$(MV),"ZAF
$3
MV",-11.3,-11.2,-12.1,-10.5,-13.7,-9.2
incremental cost/DALY (disc) averted (US$),3,ZAF,MV,South Africa,1626,3$(MV),"ZAF
$3
MV",-1633.7,-1625.9,-1688.9,-1572.4,-1791.9,-1464.1
intervention cost (million US$),3,ZAF,MV,South Africa,2597000,3$(MV),"ZAF
$3
MV",2.6,2.6,2.6,2.6,2.6,2.6
total DALY averted (US$),3,ZAF,MV,South Africa,15060,3$(MV),"ZAF
$3
MV",15084,15058,14564,15569.5,13643.8,16681.5
total DALY (disc) averted (US$),3,ZAF,MV,South Africa,6907,3$(MV),"ZAF
$3
MV",6916.6,6907,6684,7135,6263.2,7634.5
total medical cost averted (million US$),3,ZAF,MV,South Africa,13830000,3$(MV),"ZAF
$3
MV",13.9,13.8,13.1,14.7,11.8,16.3
incremental cost/DALY averted (US$),3,ZAF,MV,South Africa,746,3$(MV),"ZAF
$3
MV",-749.1,-745.8,-773.9,-721.6,-820.1,-672.1
incremental cost (million US$),10,KEN,mAb,Kenya,463100,10$(mAb),"KEN
$10
mAb",4.2,4.2,4.1,4.3,3.9,4.5
incremental cost/DALY (disc) averted (US$),10,KEN,mAb,Kenya,36,10$(mAb),"KEN
$10
mAb",330.4,331.7,309.4,355,268.8,403.7
intervention cost (million US$),10,KEN,mAb,Kenya,5634000,10$(mAb),"KEN
$10
mAb",9.4,9.4,9.4,9.4,9.4,9.4
total DALY averted (US$),10,KEN,mAb,Kenya,28970,10$(mAb),"KEN
$10
mAb",29017.4,28970,27756.5,30199.2,25442,32774
total DALY (disc) averted (US$),10,KEN,mAb,Kenya,12700,10$(mAb),"KEN
$10
mAb",12721.8,12702,12179,13228,11178.9,14333.1
total medical cost averted (million US$),10,KEN,mAb,Kenya,5171000,10$(mAb),"KEN
$10
mAb",5.2,5.2,5.1,5.3,4.9,5.5
incremental cost/DALY averted (US$),10,KEN,mAb,Kenya,16,10$(mAb),"KEN
$10
mAb",144.9,145.4,135.5,155.8,117.6,177.4
incremental cost (million US$),5,KEN,MV,Kenya,713200,5$(MV),"KEN
$5
MV",2.6,2.6,2.5,2.7,2.4,2.9
incremental cost/DALY (disc) averted (US$),5,KEN,MV,Kenya,71,5$(MV),"KEN
$5
MV",263,263.5,242.9,286,207,330.7
intervention cost (million US$),5,KEN,MV,Kenya,2882000,5$(MV),"KEN
$5
MV",4.8,4.8,4.8,4.8,4.8,4.8
total DALY averted (US$),5,KEN,MV,Kenya,22950,5$(MV),"KEN
$5
MV",22987.3,22954,21851.5,24050,19861.8,26371.5
total DALY (disc) averted (US$),5,KEN,MV,Kenya,9982,5$(MV),"KEN
$5
MV",9998.5,9982,9511,10458,8649.5,11447.5
total medical cost averted (million US$),5,KEN,MV,Kenya,2169000,5$(MV),"KEN
$5
MV",2.2,2.2,2.1,2.3,1.9,2.4
incremental cost/DALY averted (US$),5,KEN,MV,Kenya,31,5$(MV),"KEN
$5
MV",114.4,114.6,105.6,124.5,89.9,144
incremental cost (million US$),10,ZAF,mAb,South Africa,12330000,10$(mAb),"ZAF
$10
mAb",-9,-8.9,-9.8,-8.2,-11.5,-6.7
incremental cost/DALY (disc) averted (US$),10,ZAF,mAb,South Africa,1476,10$(mAb),"ZAF
$10
mAb",-1076.8,-1070.7,-1137.5,-1008.4,-1262.1,-882.7
intervention cost (million US$),10,ZAF,mAb,South Africa,5103000,10$(mAb),"ZAF
$10
mAb",8.5,8.5,8.5,8.5,8.5,8.5
total DALY averted (US$),10,ZAF,mAb,South Africa,17960,10$(mAb),"ZAF
$10
mAb",17985.6,17965,17424,18516,16425.9,19685
total DALY (disc) averted (US$),10,ZAF,mAb,South Africa,8341,10$(mAb),"ZAF
$10
mAb",8348.6,8340.5,8092,8589,7636,9120
total medical cost averted (million US$),10,ZAF,mAb,South Africa,17430000,10$(mAb),"ZAF
$10
mAb",17.5,17.4,16.7,18.3,15.2,20
incremental cost/DALY averted (US$),10,ZAF,mAb,South Africa,685,10$(mAb),"ZAF
$10
mAb",-499.8,-497.1,-527.7,-468.3,-584.7,-410.3
incremental cost (million US$),5,ZAF,MV,South Africa,11240000,5$(MV),"ZAF
$5
MV",-9.6,-9.5,-10.3,-8.8,-11.9,-7.4
incremental cost/DALY (disc) averted (US$),5,ZAF,MV,South Africa,1626,5$(MV),"ZAF
$5
MV",-1383.1,-1374.9,-1445.9,-1313.1,-1564.8,-1187.3
intervention cost (million US$),5,ZAF,MV,South Africa,2597000,5$(MV),"ZAF
$5
MV",4.3,4.3,4.3,4.3,4.3,4.3
total DALY averted (US$),5,ZAF,MV,South Africa,15060,5$(MV),"ZAF
$5
MV",15084,15058,14564,15569.5,13643.8,16681.5
total DALY (disc) averted (US$),5,ZAF,MV,South Africa,6907,5$(MV),"ZAF
$5
MV",6916.6,6907,6684,7135,6263.2,7634.5
total medical cost averted (million US$),5,ZAF,MV,South Africa,13830000,5$(MV),"ZAF
$5
MV",13.9,13.8,13.1,14.7,11.8,16.3
incremental cost/DALY averted (US$),5,ZAF,MV,South Africa,746,5$(MV),"ZAF
$5
MV",-634.2,-630.7,-662.6,-602.6,-716.2,-545.1
incremental cost (million US$),20,KEN,mAb,Kenya,463100,20$(mAb),"KEN
$20
mAb",13.6,13.6,13.5,13.7,13.2,13.9
incremental cost/DALY (disc) averted (US$),20,KEN,mAb,Kenya,36,20$(mAb),"KEN
$20
mAb",1068,1070.4,1018.8,1125.4,923.5,1243.1
intervention cost (million US$),20,KEN,mAb,Kenya,5634000,20$(mAb),"KEN
$20
mAb",18.8,18.8,18.8,18.8,18.8,18.8
total DALY averted (US$),20,KEN,mAb,Kenya,28970,20$(mAb),"KEN
$20
mAb",29017.4,28970,27756.5,30199.2,25442,32774
total DALY (disc) averted (US$),20,KEN,mAb,Kenya,12700,20$(mAb),"KEN
$20
mAb",12721.8,12702,12179,13228,11178.9,14333.1
total medical cost averted (million US$),20,KEN,mAb,Kenya,5171000,20$(mAb),"KEN
$20
mAb",5.2,5.2,5.1,5.3,4.9,5.5
incremental cost/DALY averted (US$),20,KEN,mAb,Kenya,16,20$(mAb),"KEN
$20
mAb",468.2,469.3,446.3,493.8,403.9,546.2
incremental cost (million US$),10,KEN,MV,Kenya,713200,10$(MV),"KEN
$10
MV",7.4,7.4,7.3,7.5,7.2,7.7
incremental cost/DALY (disc) averted (US$),10,KEN,MV,Kenya,71,10$(MV),"KEN
$10
MV",743.1,744.3,701.9,790.7,626.3,885.6
intervention cost (million US$),10,KEN,MV,Kenya,2882000,10$(MV),"KEN
$10
MV",9.6,9.6,9.6,9.6,9.6,9.6
total DALY averted (US$),10,KEN,MV,Kenya,22950,10$(MV),"KEN
$10
MV",22987.3,22954,21851.5,24050,19861.8,26371.5
total DALY (disc) averted (US$),10,KEN,MV,Kenya,9982,10$(MV),"KEN
$10
MV",9998.5,9982,9511,10458,8649.5,11447.5
total medical cost averted (million US$),10,KEN,MV,Kenya,2169000,10$(MV),"KEN
$10
MV",2.2,2.2,2.1,2.3,1.9,2.4
incremental cost/DALY averted (US$),10,KEN,MV,Kenya,31,10$(MV),"KEN
$10
MV",323.2,323.7,305.2,344.1,271.9,385.7
incremental cost (million US$),20,ZAF,mAb,South Africa,12330000,20$(mAb),"ZAF
$20
mAb",-0.5,-0.4,-1.3,0.3,-3,1.8
incremental cost/DALY (disc) averted (US$),20,ZAF,mAb,South Africa,1476,20$(mAb),"ZAF
$20
mAb",-58.7,-51.6,-147.9,42,-330,230.5
intervention cost (million US$),20,ZAF,mAb,South Africa,5103000,20$(mAb),"ZAF
$20
mAb",17,17,17,17,17,17
total DALY averted (US$),20,ZAF,mAb,South Africa,17960,20$(mAb),"ZAF
$20
mAb",17985.6,17965,17424,18516,16425.9,19685
total DALY (disc) averted (US$),20,ZAF,mAb,South Africa,8341,20$(mAb),"ZAF
$20
mAb",8348.6,8340.5,8092,8589,7636,9120
total medical cost averted (million US$),20,ZAF,mAb,South Africa,17430000,20$(mAb),"ZAF
$20
mAb",17.5,17.4,16.7,18.3,15.2,20
incremental cost/DALY averted (US$),20,ZAF,mAb,South Africa,685,20$(mAb),"ZAF
$20
mAb",-27.2,-23.9,-68.6,19.5,-152.9,107.1
incremental cost (million US$),10,ZAF,MV,South Africa,11240000,10$(MV),"ZAF
$10
MV",-5.2,-5.2,-6,-4.4,-7.6,-3.1
incremental cost/DALY (disc) averted (US$),10,ZAF,MV,South Africa,1626,10$(MV),"ZAF
$10
MV",-756.6,-747.6,-838.6,-664.8,-997.2,-495.5
intervention cost (million US$),10,ZAF,MV,South Africa,2597000,10$(MV),"ZAF
$10
MV",8.7,8.7,8.7,8.7,8.7,8.7
total DALY averted (US$),10,ZAF,MV,South Africa,15060,10$(MV),"ZAF
$10
MV",15084,15058,14564,15569.5,13643.8,16681.5
total DALY (disc) averted (US$),10,ZAF,MV,South Africa,6907,10$(MV),"ZAF
$10
MV",6916.6,6907,6684,7135,6263.2,7634.5
total medical cost averted (million US$),10,ZAF,MV,South Africa,13830000,10$(MV),"ZAF
$10
MV",13.9,13.8,13.1,14.7,11.8,16.3
incremental cost/DALY averted (US$),10,ZAF,MV,South Africa,746,10$(MV),"ZAF
$10
MV",-346.9,-342.9,-384.3,-305.1,-456.4,-227.5
incremental cost (million US$),40,KEN,mAb,Kenya,463100,40$(mAb),"KEN
$40
mAb",32.4,32.4,32.2,32.5,32,32.7
incremental cost/DALY (disc) averted (US$),40,KEN,mAb,Kenya,36,40$(mAb),"KEN
$40
mAb",2543.1,2547.9,2437.5,2666.3,2232.8,2921.9
intervention cost (million US$),40,KEN,mAb,Kenya,5634000,40$(mAb),"KEN
$40
mAb",37.5,37.5,37.5,37.5,37.5,37.5
total DALY averted (US$),40,KEN,mAb,Kenya,28970,40$(mAb),"KEN
$40
mAb",29017.4,28970,27756.5,30199.2,25442,32774
total DALY (disc) averted (US$),40,KEN,mAb,Kenya,12700,40$(mAb),"KEN
$40
mAb",12721.8,12702,12179,13228,11178.9,14333.1
total medical cost averted (million US$),40,KEN,mAb,Kenya,5171000,40$(mAb),"KEN
$40
mAb",5.2,5.2,5.1,5.3,4.9,5.5
incremental cost/DALY averted (US$),40,KEN,mAb,Kenya,16,40$(mAb),"KEN
$40
mAb",1115,1117.1,1067.7,1169.9,976.5,1283.8
incremental cost (million US$),20,KEN,MV,Kenya,713200,20$(MV),"KEN
$20
MV",17,17,16.9,17.1,16.8,17.3
incremental cost/DALY (disc) averted (US$),20,KEN,MV,Kenya,71,20$(MV),"KEN
$20
MV",1703.3,1706.1,1619.8,1800,1464.9,1995.5
intervention cost (million US$),20,KEN,MV,Kenya,2882000,20$(MV),"KEN
$20
MV",19.2,19.2,19.2,19.2,19.2,19.2
total DALY averted (US$),20,KEN,MV,Kenya,22950,20$(MV),"KEN
$20
MV",22987.3,22954,21851.5,24050,19861.8,26371.5
total DALY (disc) averted (US$),20,KEN,MV,Kenya,9982,20$(MV),"KEN
$20
MV",9998.5,9982,9511,10458,8649.5,11447.5
total medical cost averted (million US$),20,KEN,MV,Kenya,2169000,20$(MV),"KEN
$20
MV",2.2,2.2,2.1,2.3,1.9,2.4
incremental cost/DALY averted (US$),20,KEN,MV,Kenya,31,20$(MV),"KEN
$20
MV",740.8,741.9,704.4,783.5,635.9,869
incremental cost (million US$),40,ZAF,mAb,South Africa,12330000,40$(mAb),"ZAF
$40
mAb",16.5,16.6,15.7,17.3,14,18.8
incremental cost/DALY (disc) averted (US$),40,ZAF,mAb,South Africa,1476,40$(mAb),"ZAF
$40
mAb",1977.6,1986.7,1831.4,2142.9,1534,2456.8
intervention cost (million US$),40,ZAF,mAb,South Africa,5103000,40$(mAb),"ZAF
$40
mAb",34,34,34,34,34,34
total DALY averted (US$),40,ZAF,mAb,South Africa,17960,40$(mAb),"ZAF
$40
mAb",17985.6,17965,17424,18516,16425.9,19685
total DALY (disc) averted (US$),40,ZAF,mAb,South Africa,8341,40$(mAb),"ZAF
$40
mAb",8348.6,8340.5,8092,8589,7636,9120
total medical cost averted (million US$),40,ZAF,mAb,South Africa,17430000,40$(mAb),"ZAF
$40
mAb",17.5,17.4,16.7,18.3,15.2,20
incremental cost/DALY averted (US$),40,ZAF,mAb,South Africa,685,40$(mAb),"ZAF
$40
mAb",918,922.3,849.5,995.2,710.7,1142.1
incremental cost (million US$),20,ZAF,MV,South Africa,11240000,20$(MV),"ZAF
$20
MV",3.4,3.5,2.7,4.2,1.1,5.6
incremental cost/DALY (disc) averted (US$),20,ZAF,MV,South Africa,1626,20$(MV),"ZAF
$20
MV",496.4,507.2,376.1,631.9,138,888.3
intervention cost (million US$),20,ZAF,MV,South Africa,2597000,20$(MV),"ZAF
$20
MV",17.3,17.3,17.3,17.3,17.3,17.3
total DALY averted (US$),20,ZAF,MV,South Africa,15060,20$(MV),"ZAF
$20
MV",15084,15058,14564,15569.5,13643.8,16681.5
total DALY (disc) averted (US$),20,ZAF,MV,South Africa,6907,20$(MV),"ZAF
$20
MV",6916.6,6907,6684,7135,6263.2,7634.5
total medical cost averted (million US$),20,ZAF,MV,South Africa,13830000,20$(MV),"ZAF
$20
MV",13.9,13.8,13.1,14.7,11.8,16.3
incremental cost/DALY averted (US$),20,ZAF,MV,South Africa,746,20$(MV),"ZAF
$20
MV",227.6,232.7,172.3,290,63.1,407.8
incremental cost (million US$),25,KEN,mAb,Kenya,463100,25$(mAb),"KEN
$25
mAb",18.3,18.3,18.2,18.4,17.9,18.6
incremental cost/DALY (disc) averted (US$),25,KEN,mAb,Kenya,36,25$(mAb),"KEN
$25
mAb",1436.8,1439.8,1373.5,1510.7,1250.8,1662.8
intervention cost (million US$),25,KEN,mAb,Kenya,5634000,25$(mAb),"KEN
$25
mAb",23.5,23.5,23.5,23.5,23.5,23.5
total DALY averted (US$),25,KEN,mAb,Kenya,28970,25$(mAb),"KEN
$25
mAb",29017.4,28970,27756.5,30199.2,25442,32774
total DALY (disc) averted (US$),25,KEN,mAb,Kenya,12700,25$(mAb),"KEN
$25
mAb",12721.8,12702,12179,13228,11178.9,14333.1
total medical cost averted (million US$),25,KEN,mAb,Kenya,5171000,25$(mAb),"KEN
$25
mAb",5.2,5.2,5.1,5.3,4.9,5.5
incremental cost/DALY averted (US$),25,KEN,mAb,Kenya,16,25$(mAb),"KEN
$25
mAb",629.9,631.3,601.6,662.8,547,730.6
incremental cost (million US$),12.5,KEN,MV,Kenya,713200,12.5$(MV),"KEN
$12.5
MV",9.8,9.8,9.7,9.9,9.6,10.1
incremental cost/DALY (disc) averted (US$),12.5,KEN,MV,Kenya,71,12.5$(MV),"KEN
$12.5
MV",983.1,984.8,931.3,1043,836,1163.1
intervention cost (million US$),12.5,KEN,MV,Kenya,2882000,12.5$(MV),"KEN
$12.5
MV",12,12,12,12,12,12
total DALY averted (US$),12.5,KEN,MV,Kenya,22950,12.5$(MV),"KEN
$12.5
MV",22987.3,22954,21851.5,24050,19861.8,26371.5
total DALY (disc) averted (US$),12.5,KEN,MV,Kenya,9982,12.5$(MV),"KEN
$12.5
MV",9998.5,9982,9511,10458,8649.5,11447.5
total medical cost averted (million US$),12.5,KEN,MV,Kenya,2169000,12.5$(MV),"KEN
$12.5
MV",2.2,2.2,2.1,2.3,1.9,2.4
incremental cost/DALY averted (US$),12.5,KEN,MV,Kenya,31,12.5$(MV),"KEN
$12.5
MV",427.6,428.2,405,454,362.9,506.5
incremental cost (million US$),25,ZAF,mAb,South Africa,12330000,25$(mAb),"ZAF
$25
mAb",3.8,3.8,3,4.6,1.2,6
incremental cost/DALY (disc) averted (US$),25,ZAF,mAb,South Africa,1476,25$(mAb),"ZAF
$25
mAb",450.4,458,347,567.2,136,787.1
intervention cost (million US$),25,ZAF,mAb,South Africa,5103000,25$(mAb),"ZAF
$25
mAb",21.2,21.2,21.2,21.2,21.2,21.2
total DALY averted (US$),25,ZAF,mAb,South Africa,17960,25$(mAb),"ZAF
$25
mAb",17985.6,17965,17424,18516,16425.9,19685
total DALY (disc) averted (US$),25,ZAF,mAb,South Africa,8341,25$(mAb),"ZAF
$25
mAb",8348.6,8340.5,8092,8589,7636,9120
total medical cost averted (million US$),25,ZAF,mAb,South Africa,17430000,25$(mAb),"ZAF
$25
mAb",17.5,17.4,16.7,18.3,15.2,20
incremental cost/DALY averted (US$),25,ZAF,mAb,South Africa,685,25$(mAb),"ZAF
$25
mAb",209.1,212.6,160.9,263.4,63,365.9
incremental cost (million US$),12.5,ZAF,MV,South Africa,11240000,12.5$(MV),"ZAF
$12.5
MV",-3.1,-3,-3.8,-2.3,-5.4,-0.9
incremental cost/DALY (disc) averted (US$),12.5,ZAF,MV,South Africa,1626,12.5$(MV),"ZAF
$12.5
MV",-443.4,-433.9,-534.9,-340.6,-713.4,-149.5
intervention cost (million US$),12.5,ZAF,MV,South Africa,2597000,12.5$(MV),"ZAF
$12.5
MV",10.8,10.8,10.8,10.8,10.8,10.8
total DALY averted (US$),12.5,ZAF,MV,South Africa,15060,12.5$(MV),"ZAF
$12.5
MV",15084,15058,14564,15569.5,13643.8,16681.5
total DALY (disc) averted (US$),12.5,ZAF,MV,South Africa,6907,12.5$(MV),"ZAF
$12.5
MV",6916.6,6907,6684,7135,6263.2,7634.5
total medical cost averted (million US$),12.5,ZAF,MV,South Africa,13830000,12.5$(MV),"ZAF
$12.5
MV",13.9,13.8,13.1,14.7,11.8,16.3
incremental cost/DALY averted (US$),12.5,ZAF,MV,South Africa,746,12.5$(MV),"ZAF
$12.5
MV",-203.3,-199,-245.1,-156.3,-326.5,-68.7
incremental cost (million US$),50,KEN,mAb,Kenya,463100,50$(mAb),"KEN
$50
mAb",41.7,41.7,41.6,41.9,41.4,42
incremental cost/DALY (disc) averted (US$),50,KEN,mAb,Kenya,36,50$(mAb),"KEN
$50
mAb",3280.7,3286.6,3146.9,3436.8,2887.5,3761.2
intervention cost (million US$),50,KEN,mAb,Kenya,5634000,50$(mAb),"KEN
$50
mAb",46.9,46.9,46.9,46.9,46.9,46.9
total DALY averted (US$),50,KEN,mAb,Kenya,28970,50$(mAb),"KEN
$50
mAb",29017.4,28970,27756.5,30199.2,25442,32774
total DALY (disc) averted (US$),50,KEN,mAb,Kenya,12700,50$(mAb),"KEN
$50
mAb",12721.8,12702,12179,13228,11178.9,14333.1
total medical cost averted (million US$),50,KEN,mAb,Kenya,5171000,50$(mAb),"KEN
$50
mAb",5.2,5.2,5.1,5.3,4.9,5.5
incremental cost/DALY averted (US$),50,KEN,mAb,Kenya,16,50$(mAb),"KEN
$50
mAb",1438.3,1441,1378.4,1508,1262.8,1652.7
incremental cost (million US$),25,KEN,MV,Kenya,713200,25$(MV),"KEN
$25
MV",21.8,21.8,21.7,21.9,21.6,22.1
incremental cost/DALY (disc) averted (US$),25,KEN,MV,Kenya,71,25$(MV),"KEN
$25
MV",2183.3,2186.9,2078.8,2304.7,1884.3,2550.4
intervention cost (million US$),25,KEN,MV,Kenya,2882000,25$(MV),"KEN
$25
MV",24,24,24,24,24,24
total DALY averted (US$),25,KEN,MV,Kenya,22950,25$(MV),"KEN
$25
MV",22987.3,22954,21851.5,24050,19861.8,26371.5
total DALY (disc) averted (US$),25,KEN,MV,Kenya,9982,25$(MV),"KEN
$25
MV",9998.5,9982,9511,10458,8649.5,11447.5
total medical cost averted (million US$),25,KEN,MV,Kenya,2169000,25$(MV),"KEN
$25
MV",2.2,2.2,2.1,2.3,1.9,2.4
incremental cost/DALY averted (US$),25,KEN,MV,Kenya,31,25$(MV),"KEN
$25
MV",949.7,951,904,1003.1,817.9,1110.7
incremental cost (million US$),50,ZAF,mAb,South Africa,12330000,50$(mAb),"ZAF
$50
mAb",25,25.1,24.2,25.8,22.5,27.3
incremental cost/DALY (disc) averted (US$),50,ZAF,mAb,South Africa,1476,50$(mAb),"ZAF
$50
mAb",2995.7,3005.8,2821.1,3193.3,2466,3569.9
intervention cost (million US$),50,ZAF,mAb,South Africa,5103000,50$(mAb),"ZAF
$50
mAb",42.5,42.5,42.5,42.5,42.5,42.5
total DALY averted (US$),50,ZAF,mAb,South Africa,17960,50$(mAb),"ZAF
$50
mAb",17985.6,17965,17424,18516,16425.9,19685
total DALY (disc) averted (US$),50,ZAF,mAb,South Africa,8341,50$(mAb),"ZAF
$50
mAb",8348.6,8340.5,8092,8589,7636,9120
total medical cost averted (million US$),50,ZAF,mAb,South Africa,17430000,50$(mAb),"ZAF
$50
mAb",17.5,17.4,16.7,18.3,15.2,20
incremental cost/DALY averted (US$),50,ZAF,mAb,South Africa,685,50$(mAb),"ZAF
$50
mAb",1390.6,1395.5,1308.6,1483,1142.5,1659.6
incremental cost (million US$),25,ZAF,MV,South Africa,11240000,25$(MV),"ZAF
$25
MV",7.8,7.8,7,8.6,5.4,9.9
incremental cost/DALY (disc) averted (US$),25,ZAF,MV,South Africa,1626,25$(MV),"ZAF
$25
MV",1122.9,1134.6,983.4,1280.2,705.6,1580.1
intervention cost (million US$),25,ZAF,MV,South Africa,2597000,25$(MV),"ZAF
$25
MV",21.7,21.7,21.7,21.7,21.7,21.7
total DALY averted (US$),25,ZAF,MV,South Africa,15060,25$(MV),"ZAF
$25
MV",15084,15058,14564,15569.5,13643.8,16681.5
total DALY (disc) averted (US$),25,ZAF,MV,South Africa,6907,25$(MV),"ZAF
$25
MV",6916.6,6907,6684,7135,6263.2,7634.5
total medical cost averted (million US$),25,ZAF,MV,South Africa,13830000,25$(MV),"ZAF
$25
MV",13.9,13.8,13.1,14.7,11.8,16.3
incremental cost/DALY averted (US$),25,ZAF,MV,South Africa,746,25$(MV),"ZAF
$25
MV",514.9,520.4,450.7,587.5,322.9,725.4
incremental cost (million US$),80,KEN,mAb,Kenya,463100,80$(mAb),"KEN
$80
mAb",69.9,69.9,69.8,70,69.5,70.2
incremental cost/DALY (disc) averted (US$),80,KEN,mAb,Kenya,36,80$(mAb),"KEN
$80
mAb",5493.5,5502.8,5274.9,5748.1,4851.5,6279.4
intervention cost (million US$),80,KEN,mAb,Kenya,5634000,80$(mAb),"KEN
$80
mAb",75.1,75.1,75.1,75.1,75.1,75.1
total DALY averted (US$),80,KEN,mAb,Kenya,28970,80$(mAb),"KEN
$80
mAb",29017.4,28970,27756.5,30199.2,25442,32774
total DALY (disc) averted (US$),80,KEN,mAb,Kenya,12700,80$(mAb),"KEN
$80
mAb",12721.8,12702,12179,13228,11178.9,14333.1
total medical cost averted (million US$),80,KEN,mAb,Kenya,5171000,80$(mAb),"KEN
$80
mAb",5.2,5.2,5.1,5.3,4.9,5.5
incremental cost/DALY averted (US$),80,KEN,mAb,Kenya,16,80$(mAb),"KEN
$80
mAb",2408.4,2412.7,2310.5,2522.2,2121.7,2759.1
incremental cost (million US$),40,KEN,MV,Kenya,713200,40$(MV),"KEN
$40
MV",36.2,36.2,36.1,36.3,36,36.5
incremental cost/DALY (disc) averted (US$),40,KEN,MV,Kenya,71,40$(MV),"KEN
$40
MV",3623.6,3629.5,3455.7,3818.7,3142.2,4215.3
intervention cost (million US$),40,KEN,MV,Kenya,2882000,40$(MV),"KEN
$40
MV",38.4,38.4,38.4,38.4,38.4,38.4
total DALY averted (US$),40,KEN,MV,Kenya,22950,40$(MV),"KEN
$40
MV",22987.3,22954,21851.5,24050,19861.8,26371.5
total DALY (disc) averted (US$),40,KEN,MV,Kenya,9982,40$(MV),"KEN
$40
MV",9998.5,9982,9511,10458,8649.5,11447.5
total medical cost averted (million US$),40,KEN,MV,Kenya,2169000,40$(MV),"KEN
$40
MV",2.2,2.2,2.1,2.3,1.9,2.4
incremental cost/DALY averted (US$),40,KEN,MV,Kenya,31,40$(MV),"KEN
$40
MV",1576.1,1578.4,1502.7,1662.1,1364,1835.7
incremental cost (million US$),80,ZAF,mAb,South Africa,12330000,80$(mAb),"ZAF
$80
mAb",50.5,50.6,49.7,51.3,48,52.8
incremental cost/DALY (disc) averted (US$),80,ZAF,mAb,South Africa,1476,80$(mAb),"ZAF
$80
mAb",6050.1,6063.2,5790,6344.5,5262,6909.4
intervention cost (million US$),80,ZAF,mAb,South Africa,5103000,80$(mAb),"ZAF
$80
mAb",68,68,68,68,68,68
total DALY averted (US$),80,ZAF,mAb,South Africa,17960,80$(mAb),"ZAF
$80
mAb",17985.6,17965,17424,18516,16425.9,19685
