variable,source,meanvals,medianval,stdevvals,min_q,max_q,country,age_distrib,intervention
cost_rsv_hosp_0to1y,mcmarcel,1080112,785462,1027779,178947.4,2225877.2,CMR,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,2107035.6,1542101.5,1965851.8,365092.6,4331149.5,CMR,KEN,monocl_Ab
hosp_cases,mcmarcel,19232.3,16035.5,12740,5434,35523.9,CMR,KEN,monocl_Ab
hosp_cases,own,19619.8,16353.5,12995.3,5548.9,36223.9,CMR,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,1278.4,1025,931.1,320,2454.1,CMR,KEN,monocl_Ab
hosp_cases_averted,own,4718.9,3933.5,3125.6,1335,8712.2,CMR,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,3117372.2,3183098.5,255815.5,2642119.2,3356101.5,CMR,KEN,monocl_Ab
incremental_cost_0to1y,own,2151274.2,2368549,882009.2,516259.3,2979508,CMR,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2297.2,1700,2094.5,452.1,4629.3,CMR,KEN,monocl_Ab
net_cost/DALY_averted,own,359.2,254.1,361.6,24.9,788.3,CMR,KEN,monocl_Ab
rsv_cases,mcmarcel,218567.1,218569,88.8,218418,218677,CMR,KEN,monocl_Ab
rsv_cases,own,222975.9,222994,666.8,221855,223797.1,CMR,KEN,monocl_Ab
rsv_deaths,mcmarcel,424.3,339,320.4,100,825.1,CMR,KEN,monocl_Ab
rsv_deaths,own,588.6,469,445.8,141,1151,CMR,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,39.7,30,33.1,9,78,CMR,KEN,monocl_Ab
rsv_deaths_averted,own,181.5,142.5,143.9,41,360,CMR,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,11889.2,9310,9254.1,2822.8,22944.3,CMR,KEN,monocl_Ab
total_DALY_0to1y,own,29006.2,23021.5,22213.1,7023,56873.9,CMR,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,2433.4,1853,2006,539,4749.2,CMR,KEN,monocl_Ab
total_DALY_0to1y_averted,own,11029.2,8688,8664,2590.9,21778,CMR,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,1981193.5,1650211.5,1353366.4,541710.8,3645116.4,CMR,KEN,monocl_Ab
total_medical_cost_0to1y,own,3869812.4,3234732.5,2578058.4,1132582.8,7018861.4,CMR,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,357848,292121.5,255815.5,92779.5,682497.5,CMR,KEN,monocl_Ab
total_medical_cost_averted,own,1323946,1106671.5,882009.2,387481,2401303.3,CMR,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,80303.9,57902,74692.9,14051.4,165947.3,CAF,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,157078.1,116721,140366.1,27950.4,323312.6,CAF,KEN,monocl_Ab
hosp_cases,mcmarcel,3179.4,2651,2106.1,898,5874.2,CAF,KEN,monocl_Ab
hosp_cases,own,3274.8,2729,2168.9,927,6050.2,CAF,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,190.2,152.5,138.4,48,365,CAF,KEN,monocl_Ab
hosp_cases_averted,own,704.4,587,466.5,199,1301.1,CAF,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,535209.8,539761,16975.2,501873,550913.1,CAF,KEN,monocl_Ab
incremental_cost_0to1y,own,470437.3,483517.5,56511.5,360181.6,525828.5,CAF,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2818.8,2105.7,2496.6,600.6,5628.1,CAF,KEN,monocl_Ab
net_cost/DALY_averted,own,534.4,402.4,453.7,107.4,1073.6,CAF,KEN,monocl_Ab
rsv_cases,mcmarcel,36132.3,36133,19.4,36100,36156,CAF,KEN,monocl_Ab
rsv_cases,own,37217.6,37222,166.6,36938,37423,CAF,KEN,monocl_Ab
rsv_deaths,mcmarcel,70.3,56,53.1,17,137,CAF,KEN,monocl_Ab
rsv_deaths,own,98.6,79,74.7,24,193,CAF,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,5.9,4,4.9,1,12,CAF,KEN,monocl_Ab
rsv_deaths_averted,own,27.1,21,21.5,6,54,CAF,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,1846.3,1447,1434.9,439,3560.2,CAF,KEN,monocl_Ab
total_DALY_0to1y,own,4505.7,3574,3447.6,1094,8830.4,CAF,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,334.7,255,275.5,74,653,CAF,KEN,monocl_Ab
total_DALY_0to1y_averted,own,1517.5,1194.5,1191.1,357,2996.2,CAF,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,148937.4,122572,99722,41621.4,273886.5,CAF,KEN,monocl_Ab
total_medical_cost_0to1y,own,291857.7,248844,185834.7,84766.4,532850.9,CAF,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,23980.2,19429,16975.2,6244.6,45207.6,CAF,KEN,monocl_Ab
total_medical_cost_averted,own,88752.7,75672.5,56511.5,25776.8,162037.6,CAF,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,380002.2,272241.5,355990.1,63493.4,807388.6,TCD,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,744550,536495.5,678628.8,128130.6,1551453.4,TCD,KEN,monocl_Ab
hosp_cases,mcmarcel,12941,10790.5,8572.4,3656.9,23908.2,TCD,KEN,monocl_Ab
hosp_cases,own,13330.2,11108,8828.8,3772,24627.1,TCD,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,936.5,751,681.4,235,1799,TCD,KEN,monocl_Ab
hosp_cases_averted,own,3468,2889.5,2296.9,981,6407.3,TCD,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,2485166,2511036,101047.9,2295254.5,2578452.5,TCD,KEN,monocl_Ab
incremental_cost_0to1y,own,2106244.8,2193495,350473.2,1455998.6,2437900.3,TCD,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2706.5,2019.8,2408.4,570.8,5388.7,TCD,KEN,monocl_Ab
net_cost/DALY_averted,own,498.5,369.4,438.1,90.3,1009.8,TCD,KEN,monocl_Ab
rsv_cases,mcmarcel,147069.2,147071,75.8,146942,147163,TCD,KEN,monocl_Ab
rsv_cases,own,151497.3,151515,689.6,150341.9,152349,TCD,KEN,monocl_Ab
rsv_deaths,mcmarcel,286.1,229,216,68,556.1,TCD,KEN,monocl_Ab
rsv_deaths,own,401.2,320,304,96,785.1,TCD,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,29.1,22,24.2,6,57,TCD,KEN,monocl_Ab
rsv_deaths_averted,own,133.5,105,105.8,30,265,TCD,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,7395.2,5795.5,5745.8,1759,14258.1,TCD,KEN,monocl_Ab
total_DALY_0to1y,own,18048.1,14315.5,13807.5,4384.9,35373.9,TCD,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,1621.9,1236,1334.5,360,3163,TCD,KEN,monocl_Ab
total_DALY_0to1y_averted,own,7353.1,5789.5,5770.9,1731,14516.9,TCD,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,717236.3,595358,497573.9,198375.1,1318855.8,TCD,KEN,monocl_Ab
total_medical_cost_0to1y,own,1409562,1172322,952968.1,397848.4,2586881.2,TCD,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,139473.7,113604,101047.9,35852.2,265184.1,TCD,KEN,monocl_Ab
total_medical_cost_averted,own,518394.9,431145,350473.2,146316.9,951377.3,TCD,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,21959.3,15999,19911.3,3581.9,45776.1,COM,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,42787.6,31747.5,37544.4,7350,88288.4,COM,KEN,monocl_Ab
hosp_cases,mcmarcel,628.8,524,416.5,178,1161.1,COM,KEN,monocl_Ab
hosp_cases,own,640,533.5,423.9,181,1182,COM,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,55.9,45,40.7,14,107,COM,KEN,monocl_Ab
hosp_cases_averted,own,206.3,172,136.6,58,381,COM,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,128688.4,131081.5,9227.3,111194.6,137399.3,COM,KEN,monocl_Ab
incremental_cost_0to1y,own,93325.6,100555,30969,33350,123751.9,COM,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2041.5,1509.2,1859.2,413,4058,COM,KEN,monocl_Ab
net_cost/DALY_averted,own,323.6,235.4,311.4,39.2,683.8,COM,KEN,monocl_Ab
rsv_cases,mcmarcel,7145.9,7146,1.7,7143,7148,COM,KEN,monocl_Ab
rsv_cases,own,7273.2,7274,17.2,7244,7294,COM,KEN,monocl_Ab
rsv_deaths,mcmarcel,13.9,11,10.5,3,27,COM,KEN,monocl_Ab
rsv_deaths,own,19.2,15,14.5,5,37.1,COM,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,1.7,1,1.5,0,3,COM,KEN,monocl_Ab
rsv_deaths_averted,own,7.9,6,6.3,2,16,COM,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,408.7,320,318.4,97,789.1,COM,KEN,monocl_Ab
total_DALY_0to1y,own,997,791,763.9,241,1956,COM,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,112.3,85.5,92.7,25,219.1,COM,KEN,monocl_Ab
total_DALY_0to1y_averted,own,509,401,400.1,119,1005.1,COM,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,54165.7,45462.5,35967.7,14454,99838.1,COM,KEN,monocl_Ab
total_medical_cost_0to1y,own,105611.1,89868.5,67439.4,29294.9,191396.5,COM,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,13135.1,10741.5,9227.3,3367.9,24561.2,COM,KEN,monocl_Ab
total_medical_cost_averted,own,48498,41269,30969,13453,87891.8,COM,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,345692.2,255126.5,316568.7,63920.2,705743.2,COG,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,671337.2,502528.5,593699.3,129801.4,1366146.9,COG,KEN,monocl_Ab
hosp_cases,mcmarcel,4066.1,3389.5,2693.5,1149,7508,COG,KEN,monocl_Ab
hosp_cases,own,4118.1,3435,2727.8,1164.9,7606.9,COG,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,312.8,251,228,78,600.2,COG,KEN,monocl_Ab
hosp_cases_averted,own,1151.7,960.5,762.8,326,2127.3,COG,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,712356.7,741727.5,114199.3,493521.8,820052.5,COG,KEN,monocl_Ab
incremental_cost_0to1y,own,278289.1,371926,387442.7,-458234.2,655438.9,COG,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2012.9,1459.6,1922.5,342.5,4121.1,COG,KEN,monocl_Ab
net_cost/DALY_averted,own,202.1,138.7,337.7,-146.8,557.2,COG,KEN,monocl_Ab
rsv_cases,mcmarcel,46209.6,46210,10.8,46191,46223,COG,KEN,monocl_Ab
rsv_cases,own,46801,46804,84.7,46657,46905,COG,KEN,monocl_Ab
rsv_deaths,mcmarcel,89.6,72,67.7,21,174,COG,KEN,monocl_Ab
rsv_deaths,own,123.2,98,93.3,29,241,COG,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,9.7,7,8.1,2,19,COG,KEN,monocl_Ab
rsv_deaths_averted,own,44.3,35,35.1,10,88,COG,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,2696.6,2109.5,2101.9,637.9,5210.4,COG,KEN,monocl_Ab
total_DALY_0to1y,own,6577.1,5220.5,5040.8,1590.8,12905,COG,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,646.5,492,533.7,143,1260.3,COG,KEN,monocl_Ab
total_DALY_0to1y_averted,own,2929.4,2307,2302.9,687,5787.5,COG,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,766910.6,634921,516508.8,210973.9,1426110.9,COG,KEN,monocl_Ab
total_medical_cost_0to1y,own,1490177.8,1255893.5,969398.9,429594.1,2697037,COG,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,161516.3,132145.5,114199.3,41517.8,305368.8,COG,KEN,monocl_Ab
total_medical_cost_averted,own,595584,501947,387442.7,171696.9,1077932.8,COG,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,940492,670922,895043,153916.7,1960219.6,CIV,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,1829388.2,1312947,1681612.7,321928.9,3806719.6,CIV,KEN,monocl_Ab
hosp_cases,mcmarcel,17604,14678,11661.3,4973.9,32516.6,CIV,KEN,monocl_Ab
hosp_cases,own,17940.1,14956,11882.8,5073.9,33121.6,CIV,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,1585.2,1271,1154.6,397,3043.2,CIV,KEN,monocl_Ab
hosp_cases_averted,own,5849.1,4876,3874.2,1654,10799.2,CIV,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,4377374.1,4477218.5,368171.8,3669526,4711553.7,CIV,KEN,monocl_Ab
incremental_cost_0to1y,own,3034414.7,3343156.5,1235357.4,628800,4215914.1,CIV,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2810.5,2079,2552.1,559.4,5584.3,CIV,KEN,monocl_Ab
net_cost/DALY_averted,own,437.5,316.6,436.3,31.6,963.3,CIV,KEN,monocl_Ab
rsv_cases,mcmarcel,200061.9,200064.5,83.5,199921,200165,CIV,KEN,monocl_Ab
rsv_cases,own,203886.1,203902,586,202902,204607.1,CIV,KEN,monocl_Ab
rsv_deaths,mcmarcel,388.3,310,293.2,92,755.1,CIV,KEN,monocl_Ab
rsv_deaths,own,538,429,407.4,129,1052,CIV,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,49.3,37,41,11,97,CIV,KEN,monocl_Ab
rsv_deaths_averted,own,225,177,178.3,51,446.1,CIV,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,10021.4,7849,7793.5,2384.9,19333.3,CIV,KEN,monocl_Ab
total_DALY_0to1y,own,24452.5,19411.5,18711.5,5934.9,47929.3,CIV,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,2784.1,2120,2293.5,618,5430.4,CIV,KEN,monocl_Ab
total_DALY_0to1y_averted,own,12619.3,9941.5,9906.2,2970.9,24908.4,CIV,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,2037379.8,1666679,1424572.7,544957.9,3816409,CIV,KEN,monocl_Ab
total_medical_cost_0to1y,own,3969420.5,3304200,2661722,1125420,7280772.4,CIV,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,499326.5,399481.5,368171.8,126785.2,944246,CIV,KEN,monocl_Ab
total_medical_cost_averted,own,1842285.9,1533544,1235357.4,522329.4,3379149.2,CIV,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,654620.5,476118,622608.9,106636.7,1349157.5,COD,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,1277583.5,949151.5,1177372.3,215153.6,2630698.1,COD,KEN,monocl_Ab
hosp_cases,mcmarcel,68846.4,57406,45605.5,19453.6,127184.7,COD,KEN,monocl_Ab
hosp_cases,own,70410.2,58665.5,46635.6,19918.5,130022.8,COD,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,6039.7,4843.5,4397.6,1512,11591.8,COD,KEN,monocl_Ab
hosp_cases_averted,own,22314.2,18592,14779.6,6312.8,41206.8,COD,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,17262540.6,17381357.5,449557.7,16446303.3,17657936.1,COD,KEN,monocl_Ab
incremental_cost_0to1y,own,15725700.6,16117351.5,1523906.3,12844560.7,17103556.2,COD,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2588.2,1923.4,2289.4,565,5133.8,COD,KEN,monocl_Ab
net_cost/DALY_averted,own,501.4,377.1,419.6,110.1,993.6,COD,KEN,monocl_Ab
rsv_cases,mcmarcel,782411.9,782420,373.7,781786,782875.1,COD,KEN,monocl_Ab
rsv_cases,own,800201.7,800275.5,2731.5,795614.8,803567.5,COD,KEN,monocl_Ab
rsv_deaths,mcmarcel,1519.7,1215,1147.4,359,2954.5,COD,KEN,monocl_Ab
rsv_deaths,own,2114.1,1685,1601.3,505,4134.1,COD,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,187.7,142,156.2,40,368,COD,KEN,monocl_Ab
rsv_deaths_averted,own,858.5,674,680.4,196,1703.1,COD,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,43601.1,34151.5,33938.3,10336.4,84126.1,COD,KEN,monocl_Ab
total_DALY_0to1y,own,106375.2,84399,81475.7,25750,208569,COD,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,11727.7,8928.5,9667.2,2596,22884.8,COD,KEN,monocl_Ab
total_DALY_0to1y_averted,own,53158.6,41873,41764.6,12481.2,104984.8,COD,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,2404439.3,1936419.5,1804802.7,609817.4,4527065.4,COD,KEN,monocl_Ab
total_medical_cost_0to1y,own,4686858.4,3816650,3385965.3,1258487.1,8609059,COD,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,572553.5,453736.5,449557.7,135826.4,1110283.7,COD,KEN,monocl_Ab
total_medical_cost_averted,own,2109393.5,1717743,1523906.4,566401.5,3874640.7,COD,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,41393.7,30247,37381,7139.7,86077.7,DJI,KEN,monocl_Ab
