variable,source,meanvals,medianval,stdevvals,min_q,max_q,country,age_distrib
rsv_deaths,own,558.3,441,429.3,134,1065,BFA,ZAF
rsv_deaths_averted,mcmarcel,34.5,26,29.8,7,69,BFA,ZAF
rsv_deaths_averted,own,268.2,211,215.7,60,519,BFA,ZAF
total_DALY_0to1y,mcmarcel,10419.2,8209.5,8101.6,2509.6,19976.2,BFA,ZAF
total_DALY_0to1y,own,31190,24653,24140.9,7535.8,59405.2,BFA,ZAF
total_DALY_0to1y_averted,mcmarcel,2158.7,1642,1848,461,4281.7,BFA,ZAF
total_DALY_0to1y_averted,own,16677.6,13122.5,13300.3,3863.9,32146.8,BFA,ZAF
total_medical_cost_0to1y,mcmarcel,1340521,1066401,1022056.5,328207.4,2543141.3,BFA,ZAF
total_medical_cost_0to1y,own,3068562.6,2515245.5,2224288.2,777461.5,5672027.2,BFA,ZAF
total_medical_cost_averted,mcmarcel,234392.4,181568,193472.6,52352.8,460982.7,BFA,ZAF
total_medical_cost_averted,own,1469354.3,1204403,1065080.9,372280.8,2715999.9,BFA,ZAF
cost_rsv_hosp_0to1y,mcmarcel,94089.3,69420.5,85110.4,15914.7,198658.8,BDI,ZAF
cost_rsv_hosp_0to1y,own,217076.8,160599,189944.2,39118.7,457980,BDI,ZAF
hosp_cases,mcmarcel,9161.5,7722.5,5940.9,2660,16782.8,BDI,ZAF
hosp_cases,own,9469.1,7971.5,6139.2,2752.9,17300.4,BDI,ZAF
hosp_cases_averted,mcmarcel,564.4,454,417.8,140,1076.1,BDI,ZAF
hosp_cases_averted,own,3558.1,2995.5,2306.9,1034,6500.7,BDI,ZAF
incremental_cost_0to1y,mcmarcel,1174041.5,1185996,44672.1,1093955.4,1213735.1,BDI,ZAF
incremental_cost_0to1y,own,872989,937955,257993.2,399351.4,1112228.2,BDI,ZAF
net_cost/DALY_averted,mcmarcel,1894.6,1406.7,1655.7,401.3,3816.3,BDI,ZAF
net_cost/DALY_averted,own,177.2,130.9,170.2,27.4,362.2,BDI,ZAF
rsv_cases,mcmarcel,106639.8,106642,49.1,106556,106700,BDI,ZAF
rsv_cases,own,110223,110239.5,407.5,109532,110721,BDI,ZAF
rsv_deaths,mcmarcel,201.1,160,150.9,49,388,BDI,ZAF
rsv_deaths,own,312.5,247,240.4,75,596,BDI,ZAF
rsv_deaths_averted,mcmarcel,18.4,14,15.8,4,36.1,BDI,ZAF
rsv_deaths_averted,own,142.9,112,114.9,32,277,BDI,ZAF
total_DALY_0to1y,mcmarcel,5610.7,4423,4358.8,1354.8,10746.1,BDI,ZAF
total_DALY_0to1y,own,16798,13283,12995.3,4063,32039.5,BDI,ZAF
total_DALY_0to1y_averted,mcmarcel,1103.1,839,943.4,236,2184.6,BDI,ZAF
total_DALY_0to1y_averted,own,8523.7,6709.5,6794.4,1978,16435.2,BDI,ZAF
total_medical_cost_0to1y,mcmarcel,340059.6,275623.5,253746.6,81989.9,644777.2,BDI,ZAF
total_medical_cost_0to1y,own,785090,642437.5,566501.5,196879.9,1487773.9,BDI,ZAF
total_medical_cost_averted,mcmarcel,56489.1,44535,44672.1,12445.4,109191.9,BDI,ZAF
total_medical_cost_averted,own,357541.6,292575.5,257993.2,89662.2,677554.5,BDI,ZAF
cost_rsv_hosp_0to1y,mcmarcel,1055238.7,776569,957389.6,180803.9,2138499.4,CMR,ZAF
cost_rsv_hosp_0to1y,own,2419579.6,1824705.5,2117914.7,431382.3,4878451.4,CMR,ZAF
hosp_cases,mcmarcel,18777.3,15827.5,12176.4,5451,34400.3,CMR,ZAF
hosp_cases,own,19292.2,16243.5,12508.4,5605.9,35256.5,CMR,ZAF
hosp_cases_averted,mcmarcel,863.9,695,639.9,215,1648.1,CMR,ZAF
hosp_cases_averted,own,5439.8,4580.5,3527,1580.9,9941.5,CMR,ZAF
incremental_cost_0to1y,mcmarcel,1527411.2,1574422,178058.3,1192057.6,1690560.2,CMR,ZAF
incremental_cost_0to1y,own,230710.5,457518.5,990480.5,-1655639.2,1197944,CMR,ZAF
net_cost/DALY_averted,mcmarcel,1631.8,1185.3,1496.9,297.1,3331.2,CMR,ZAF
net_cost/DALY_averted,own,60.4,37.9,168.4,-117.6,217.2,CMR,ZAF
rsv_cases,mcmarcel,218566.5,218570,88.1,218417,218675,CMR,ZAF
rsv_cases,own,224564.9,224592,666.2,223433,225379,CMR,ZAF
rsv_deaths,mcmarcel,411.8,327,309,99,795,CMR,ZAF
rsv_deaths,own,635.9,503,489.1,152,1213,CMR,ZAF
rsv_deaths_averted,mcmarcel,28.1,21,24.3,6,56,CMR,ZAF
rsv_deaths_averted,own,218.4,171,175.7,49,422.1,CMR,ZAF
total_DALY_0to1y,mcmarcel,11595.8,9138,9013.4,2795.6,22225.4,CMR,ZAF
total_DALY_0to1y,own,34713.8,27439.5,26861.9,8391.9,66116.5,CMR,ZAF
total_DALY_0to1y_averted,mcmarcel,1716.1,1305.5,1468.6,366.9,3402.6,CMR,ZAF
total_DALY_0to1y_averted,own,13258.5,10432.5,10571.1,3074,25557.3,CMR,ZAF
total_medical_cost_0to1y,mcmarcel,1960467.7,1644931,1320091.7,538458.5,3594861.3,CMR,ZAF
total_medical_cost_0to1y,own,4503415.8,3840865.5,2893381.3,1303941.3,8124164.4,CMR,ZAF
total_medical_cost_averted,mcmarcel,244937,197926,178058.2,62616.4,459603.9,CMR,ZAF
total_medical_cost_averted,own,1541637.7,1314829.5,990480.5,446373.3,2781115.5,CMR,ZAF
cost_rsv_hosp_0to1y,mcmarcel,78352,56954,70416.8,13821.9,161807.9,CAF,ZAF
cost_rsv_hosp_0to1y,own,181260.7,133370.5,157130.8,32999.8,375022,CAF,ZAF
hosp_cases,mcmarcel,3104.2,2617,2012.9,901,5685.4,CAF,ZAF
hosp_cases,own,3230.8,2720.5,2094.6,939,5904.5,CAF,ZAF
hosp_cases_averted,mcmarcel,128.7,103,95.2,32,245.1,CAF,ZAF
hosp_cases_averted,own,812.5,684,526.7,236,1485.1,CAF,ZAF
incremental_cost_0to1y,mcmarcel,273148.6,276274.5,11695.3,250988.5,284062.5,CAF,ZAF
incremental_cost_0to1y,own,185896,201427.5,64785.3,60725,250787,CAF,ZAF
net_cost/DALY_averted,mcmarcel,2070.5,1527,1821.7,425.2,4177.3,CAF,ZAF
net_cost/DALY_averted,own,186.5,132.7,188.1,18.9,395.5,CAF,ZAF
rsv_cases,mcmarcel,36132.2,36133,19.2,36100,36156,CAF,ZAF
rsv_cases,own,37607.4,37614,167,37325,37812,CAF,ZAF
rsv_deaths,mcmarcel,68.2,54,51.2,16,132,CAF,ZAF
rsv_deaths,own,106.8,84,82.2,26,204,CAF,ZAF
rsv_deaths_averted,mcmarcel,4.2,3,3.6,1,8,CAF,ZAF
rsv_deaths_averted,own,32.6,26,26.3,7,63,CAF,ZAF
total_DALY_0to1y,mcmarcel,1800.8,1420,1397.4,435.9,3448,CAF,ZAF
total_DALY_0to1y,own,5392.3,4267.5,4168.7,1307,10294.1,CAF,ZAF
total_DALY_0to1y_averted,mcmarcel,236.1,180,201.6,51,467.1,CAF,ZAF
total_DALY_0to1y_averted,own,1824.1,1435.5,1453.1,424,3516.1,CAF,ZAF
total_medical_cost_0to1y,mcmarcel,147308.3,123296,96959.1,41254.8,271213.6,CAF,ZAF
total_medical_cost_0to1y,own,340795.5,289734.5,212990.5,101005.2,614647.8,CAF,ZAF
total_medical_cost_averted,mcmarcel,16407.1,13281.5,11695.3,4298.6,31420.3,CAF,ZAF
total_medical_cost_averted,own,103659.7,88128.5,64785.3,30722.4,186957,CAF,ZAF
cost_rsv_hosp_0to1y,mcmarcel,364513.6,268895,324458.7,65197.6,744147.7,TCD,ZAF
cost_rsv_hosp_0to1y,own,842713.1,635638,726686.7,157126.6,1703106.1,TCD,ZAF
hosp_cases,mcmarcel,12634.8,10650.5,8193.2,3668,23143.4,TCD,ZAF
hosp_cases,own,13150.9,11071.5,8525.9,3823.9,24035.8,TCD,ZAF
hosp_cases_averted,mcmarcel,633.5,509.5,468.7,157,1207.2,TCD,ZAF
hosp_cases_averted,own,3999.7,3367.5,2593.1,1163,7310.5,TCD,ZAF
incremental_cost_0to1y,mcmarcel,1271795,1289788.5,70497.3,1140066.6,1335689.1,TCD,ZAF
incremental_cost_0to1y,own,767141.2,859760.5,395315.8,55396.4,1146561.1,TCD,ZAF
net_cost/DALY_averted,mcmarcel,1994,1467.4,1763.8,405.8,4048.7,TCD,ZAF
net_cost/DALY_averted,own,162.6,114.9,182.8,2.9,364.3,TCD,ZAF
rsv_cases,mcmarcel,147068.7,147072,75.2,146941,147161,TCD,ZAF
rsv_cases,own,153081.4,153108,691.2,151913,153927,TCD,ZAF
rsv_deaths,mcmarcel,277.7,221,208.3,67,536,TCD,ZAF
rsv_deaths,own,434.7,344,334.4,104,829,TCD,ZAF
rsv_deaths_averted,mcmarcel,20.6,16,17.8,4,41,TCD,ZAF
rsv_deaths_averted,own,160.7,126,129.3,36,311,TCD,ZAF
total_DALY_0to1y,mcmarcel,7212.9,5688,5595.9,1747.7,13809.1,TCD,ZAF
total_DALY_0to1y,own,21599.5,17094.5,16695.2,5235.8,41230.3,TCD,ZAF
total_DALY_0to1y_averted,mcmarcel,1143.8,870,976.9,245,2262.7,TCD,ZAF
total_DALY_0to1y_averted,own,8839,6956,7039.8,2056.9,17035.6,TCD,ZAF
total_medical_cost_0to1y,mcmarcel,705225,586809.5,484921.8,194718.4,1286334.5,TCD,ZAF
total_medical_cost_0to1y,own,1630245.6,1378472.5,1074611.1,469008.3,2942369.9,TCD,ZAF
total_medical_cost_averted,mcmarcel,95062.5,77069.5,70497.3,23646.8,177880.7,TCD,ZAF
total_medical_cost_averted,own,599716.3,507097,395315.8,172533.8,1082405.3,TCD,ZAF
cost_rsv_hosp_0to1y,mcmarcel,21553.3,15612.5,19642.6,3644.9,45863.1,COM,ZAF
cost_rsv_hosp_0to1y,own,49565.3,35853,44028.2,8851.4,104974.5,COM,ZAF
hosp_cases,mcmarcel,613.9,517.5,398.1,178,1125,COM,ZAF
hosp_cases,own,628.8,530,407.7,183,1149.4,COM,ZAF
hosp_cases_averted,mcmarcel,37.8,30,28,9,72,COM,ZAF
hosp_cases_averted,own,237.8,200,154.2,69,434.2,COM,ZAF
incremental_cost_0to1y,mcmarcel,64146.4,65763,6432.3,51803.8,70177.2,COM,ZAF
incremental_cost_0to1y,own,16269.7,25142.5,36689.9,-53181.4,52191.4,COM,ZAF
net_cost/DALY_averted,mcmarcel,1469.8,1075.6,1329.1,282.5,3001.6,COM,ZAF
net_cost/DALY_averted,own,60.4,42.8,147.8,-96.7,205.3,COM,ZAF
rsv_cases,mcmarcel,7145.9,7146,1.7,7143,7148,COM,ZAF
rsv_cases,own,7319.6,7321,17.1,7290,7340.1,COM,ZAF
rsv_deaths,mcmarcel,13.5,11,10.1,3,26,COM,ZAF
rsv_deaths,own,20.7,16,15.9,5,39.1,COM,ZAF
rsv_deaths_averted,mcmarcel,1.2,1,1.1,0,2,COM,ZAF
rsv_deaths_averted,own,9.6,7,7.7,2,18,COM,ZAF
total_DALY_0to1y,mcmarcel,398.6,314,310.1,96,765,COM,ZAF
total_DALY_0to1y,own,1193.1,943,923.8,288,2272.5,COM,ZAF
total_DALY_0to1y_averted,mcmarcel,79.2,60,67.9,17,157,COM,ZAF
total_DALY_0to1y_averted,own,611.9,481.5,488.2,142,1180,COM,ZAF
total_medical_cost_0to1y,mcmarcel,53749.7,45454.5,35685.4,14888.7,99385.4,COM,ZAF
total_medical_cost_0to1y,own,123769,104459.5,79846,36027.1,225305.6,COM,ZAF
total_medical_cost_averted,mcmarcel,8996.2,7379.5,6432.3,2255.8,17053.1,COM,ZAF
total_medical_cost_averted,own,56872.9,48000,36689.9,16554.2,103529.6,COM,ZAF
cost_rsv_hosp_0to1y,mcmarcel,338746.3,250919,303388.4,62941.9,686163.4,COG,ZAF
cost_rsv_hosp_0to1y,own,775528.1,579127.5,675553,148339.6,1580665.2,COG,ZAF
hosp_cases,mcmarcel,3969.9,3346,2574.4,1152,7275,COG,ZAF
hosp_cases,own,4039.1,3404.5,2619,1173,7385.1,COG,ZAF
hosp_cases_averted,mcmarcel,211.2,170,156.6,53,403,COG,ZAF
hosp_cases_averted,own,1327,1119,860.5,385,2426.7,COG,ZAF
incremental_cost_0to1y,mcmarcel,333268.4,353325.5,79916.7,184972.8,407202.3,COG,ZAF
incremental_cost_0to1y,own,-254161.2,-146652,451694.8,-1123676.5,188479.5,COG,ZAF
net_cost/DALY_averted,mcmarcel,1375.5,977.4,1340.4,189.8,2876.5,COG,ZAF
net_cost/DALY_averted,own,-81.6,-44.4,270.3,-430.7,100.6,COG,ZAF
rsv_cases,mcmarcel,46209.5,46210,10.7,46191,46223,COG,ZAF
rsv_cases,own,47015.4,47019,84.4,46872,47118,COG,ZAF
rsv_deaths,mcmarcel,86.9,69,65.2,21,168,COG,ZAF
rsv_deaths,own,132.9,105,102.2,32,253,COG,ZAF
rsv_deaths_averted,mcmarcel,6.9,5,5.9,1,14,COG,ZAF
rsv_deaths_averted,own,53.3,42,42.8,12,103,COG,ZAF
total_DALY_0to1y,mcmarcel,2630,2071.5,2047.3,631.9,5048,COG,ZAF
total_DALY_0to1y,own,7871.2,6221.5,6096.2,1899.9,14997.4,COG,ZAF
total_DALY_0to1y_averted,mcmarcel,455.9,347,390.8,97,906,COG,ZAF
total_DALY_0to1y_averted,own,3521.6,2770,2810.2,813.9,6791.6,COG,ZAF
total_medical_cost_0to1y,mcmarcel,760441.2,634622,512948.5,210488.2,1386369,COG,ZAF
total_medical_cost_0to1y,own,1744399.5,1475641,1129177.3,500082.2,3134895.4,COG,ZAF
total_medical_cost_averted,mcmarcel,110367.1,90310,79916.8,28223.2,207211.8,COG,ZAF
total_medical_cost_averted,own,697796.7,590287.5,451694.8,200043.3,1254023.8,COG,ZAF
cost_rsv_hosp_0to1y,mcmarcel,909046.3,661573,833149.8,160409.4,1906014,CIV,ZAF
cost_rsv_hosp_0to1y,own,2087253.9,1539984,1838172.3,370612.8,4304008.1,CIV,ZAF
hosp_cases,mcmarcel,17187.5,14487,11145.5,4989,31487.3,CIV,ZAF
hosp_cases,own,17633.1,14849.5,11432.8,5123.9,32223.8,CIV,ZAF
hosp_cases_averted,mcmarcel,1071.1,861,793.4,266,2043.1,CIV,ZAF
hosp_cases_averted,own,6742.3,5677.5,4371.5,1959,12321.5,CIV,ZAF
incremental_cost_0to1y,mcmarcel,2163851,2232777,257487,1669327.5,2395769.8,CIV,ZAF
incremental_cost_0to1y,own,360449.5,728503.5,1423382.9,-2395688.9,1701304.1,CIV,ZAF
net_cost/DALY_averted,mcmarcel,2005.9,1452,1823.2,375.8,4122.3,CIV,ZAF
net_cost/DALY_averted,own,68.1,50.4,219.5,-172.1,271,CIV,ZAF
rsv_cases,mcmarcel,200061.3,200065,82.9,199920,200162.1,CIV,ZAF
rsv_cases,own,205252.7,205276,585.4,204260.8,205967.1,CIV,ZAF
rsv_deaths,mcmarcel,376.9,299.5,282.8,91,728,CIV,ZAF
rsv_deaths,own,581.1,459,446.9,139,1108,CIV,ZAF
rsv_deaths_averted,mcmarcel,34.8,26,30.1,7,69.1,CIV,ZAF
rsv_deaths_averted,own,270.7,213,217.8,61,524,CIV,ZAF
total_DALY_0to1y,mcmarcel,9774.5,7705,7590.8,2359.9,18730.9,CIV,ZAF
total_DALY_0to1y,own,29265.1,23136,22628.7,7092.8,55714,CIV,ZAF
total_DALY_0to1y_averted,mcmarcel,1963.6,1494.5,1679.3,421,3895.3,CIV,ZAF
total_DALY_0to1y_averted,own,15170.2,11939,12087.1,3524,29232.5,CIV,ZAF
total_medical_cost_0to1y,mcmarcel,2012439.2,1647836,1395669.6,555231.9,3776201.6,CIV,ZAF
total_medical_cost_0to1y,own,4618251.3,3825743.5,3064886.3,1346431.4,8549495.9,CIV,ZAF
total_medical_cost_averted,mcmarcel,341389.2,272463.5,257487,87388.4,653806.7,CIV,ZAF
total_medical_cost_averted,own,2144790.7,1776737,1423382.9,625304.4,3970524.3,CIV,ZAF
cost_rsv_hosp_0to1y,mcmarcel,635217.8,466931,580227.4,111952.3,1318826.7,COD,ZAF
cost_rsv_hosp_0to1y,own,1467468.3,1086005.5,1319959.9,258266.9,3046561.7,COD,ZAF
hosp_cases,mcmarcel,67217.5,56659,43588,19513,123131.3,COD,ZAF
hosp_cases,own,69294.6,58335,44927.2,20140.6,126617.6,COD,ZAF
hosp_cases_averted,mcmarcel,4082.5,3282.5,3023,1015,7789,COD,ZAF
hosp_cases_averted,own,25726.7,21658,16679.9,7477.9,47008.9,COD,ZAF
incremental_cost_0to1y,mcmarcel,8776732.8,8858585,309859.2,8215308.2,9045489,COD,ZAF
incremental_cost_0to1y,own,6690595.1,7154919,1793855.2,3265984.9,8287354.7,COD,ZAF
net_cost/DALY_averted,mcmarcel,1888.1,1396.3,1646.6,398.7,3785.8,COD,ZAF
net_cost/DALY_averted,own,179.6,133.6,163.6,30,367.5,COD,ZAF
rsv_cases,mcmarcel,782409.4,782423,370.6,781782,782865,COD,ZAF
rsv_cases,own,806605.4,806712.5,2731.5,801968.8,809944.2,COD,ZAF
rsv_deaths,mcmarcel,1474.9,1172,1106.7,356,2847.1,COD,ZAF
rsv_deaths,own,2285.9,1807,1758.3,547,4360,COD,ZAF
rsv_deaths_averted,mcmarcel,132.7,101,114.6,27,264.1,COD,ZAF
rsv_deaths_averted,own,1033.2,811,831.1,233,1999,COD,ZAF
total_DALY_0to1y,mcmarcel,42524.6,33514,33054.6,10255.8,81478.2,COD,ZAF
total_DALY_0to1y,own,127304.5,100645,98522,30759.7,242689.2,COD,ZAF
total_DALY_0to1y_averted,mcmarcel,8270.6,6288.5,7077,1765.9,16389.1,COD,ZAF
total_DALY_0to1y_averted,own,63902.1,50294.5,50955,14812.7,123220.6,COD,ZAF
total_medical_cost_0to1y,mcmarcel,2382085.9,1912981.5,1766345.1,629217.3,4540705.4,COD,ZAF
total_medical_cost_0to1y,own,5501381.7,4470222,3983750.9,1501707.1,10171078.6,COD,ZAF
total_medical_cost_averted,mcmarcel,391096,309244,309859.2,94276.9,760270.7,COD,ZAF
total_medical_cost_averted,own,2477233.7,2012910,1793855.2,676207.7,4579965.6,COD,ZAF
cost_rsv_hosp_0to1y,mcmarcel,40562.1,29327.5,37617.3,7222.8,85911.1,DJI,ZAF
cost_rsv_hosp_0to1y,own,93152.2,68579,85331.3,17399.9,190998.2,DJI,ZAF
hosp_cases,mcmarcel,459.8,387.5,298.2,133,843,DJI,ZAF
hosp_cases,own,471.2,397,305.5,137,861.3,DJI,ZAF
hosp_cases_averted,mcmarcel,27.1,22,20.1,7,52,DJI,ZAF
hosp_cases_averted,own,170.6,144,110.6,50,312.1,DJI,ZAF
incremental_cost_0to1y,mcmarcel,42706.7,45455,10638.6,22829.2,52747.2,DJI,ZAF
incremental_cost_0to1y,own,-37361.2,-24120.5,59652.1,-150756.8,21853,DJI,ZAF
net_cost/DALY_averted,mcmarcel,1444.5,1030.4,1411.5,193.3,3029.9,DJI,ZAF
net_cost/DALY_averted,own,-100.9,-58,254.3,-502.6,92.5,DJI,ZAF
rsv_cases,mcmarcel,5352.1,5352,1.1,5350,5353,DJI,ZAF
rsv_cases,own,5485.4,5486,14,5462,5502,DJI,ZAF
rsv_deaths,mcmarcel,10.1,8,7.6,2,19,DJI,ZAF
rsv_deaths,own,15.5,12,11.9,4,30,DJI,ZAF
rsv_deaths_averted,mcmarcel,0.8,1,0.9,0,2,DJI,ZAF
rsv_deaths_averted,own,6.8,5,5.5,2,13,DJI,ZAF
total_DALY_0to1y,mcmarcel,293.6,231,228.4,71,563,DJI,ZAF
total_DALY_0to1y,own,879,695,680.4,212,1674.4,DJI,ZAF
total_DALY_0to1y_averted,mcmarcel,55.9,42.5,47.8,12,111,DJI,ZAF
total_DALY_0to1y_averted,own,431.6,340,344.3,100,832,DJI,ZAF
total_medical_cost_0to1y,mcmarcel,94251.8,79505,61514.3,27040.6,173206.2,DJI,ZAF
total_medical_cost_0to1y,own,216393.9,186290,135627.1,64453.4,386906.7,DJI,ZAF
total_medical_cost_averted,mcmarcel,15107.4,12359,10638.6,4043.6,28389.8,DJI,ZAF
total_medical_cost_averted,own,95175.3,81934.5,59652.1,28348.3,170171,DJI,ZAF
cost_rsv_hosp_0to1y,mcmarcel,40620.8,30535.5,36040.7,7020.4,82373.5,ERI,ZAF
cost_rsv_hosp_0to1y,own,92627,70379.5,79048.5,16816.2,189650.2,ERI,ZAF
hosp_cases,mcmarcel,3625,3055.5,2350.7,1052,6641.2,ERI,ZAF
hosp_cases,own,3670,3094.5,2379.7,1066,6712.6,ERI,ZAF
hosp_cases_averted,mcmarcel,226.6,182,168.1,56,432.1,ERI,ZAF
hosp_cases_averted,own,1422.4,1199,922.3,413,2601.6,ERI,ZAF
incremental_cost_0to1y,mcmarcel,448024.8,450828.5,12760.3,424188.4,460725.5,ERI,ZAF
incremental_cost_0to1y,own,329377.9,342989.5,67335.4,201327.6,399288.1,ERI,ZAF
net_cost/DALY_averted,mcmarcel,1631.2,1205.4,1432.6,344.2,3294.7,ERI,ZAF
net_cost/DALY_averted,own,151,111,137.6,28.4,303.4,ERI,ZAF
rsv_cases,mcmarcel,42194.3,42195,16,42167,42214,ERI,ZAF
rsv_cases,own,42719,42723,62.2,42612,42794,ERI,ZAF
rsv_deaths,mcmarcel,79.3,63,59.5,19,153,ERI,ZAF
rsv_deaths,own,120.6,95,92.7,29,230,ERI,ZAF
rsv_deaths_averted,mcmarcel,7.4,6,6.4,2,15,ERI,ZAF
rsv_deaths_averted,own,57.1,45,45.9,13,111,ERI,ZAF
total_DALY_0to1y,mcmarcel,2392.4,1885,1862.7,573.9,4591.3,ERI,ZAF
total_DALY_0to1y,own,7159.8,5659,5545.6,1727.9,13642.5,ERI,ZAF
total_DALY_0to1y_averted,mcmarcel,490.6,373,420.6,105,975,ERI,ZAF
total_DALY_0to1y_averted,own,3789.3,2981.5,3024,876,7311.3,ERI,ZAF
