"config_tag","scenario","intervention","efficacy_maternal","efficacy_infant","dur_protection_maternal","dur_protection_infant","price_mAb_sens_factor","year","country_iso","coverage_maternal","coverage_infant"
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"AGO",0.58,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"AGO",0,0.58
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"AGO",0.58,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"AGO",0,0.58
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"AGO",0.58,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"AGO",0,0.58
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"AGO",0.58,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"AGO",0,0.58
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"AGO",0.58,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"AGO",0,0.58
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"ARM",0.99,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"ARM",0,0.99
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"ARM",0.99,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"ARM",0,0.99
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"ARM",0.99,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"ARM",0,0.99
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"ARM",0.99,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"ARM",0,0.99
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"ARM",0.99,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"ARM",0,0.99
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"ARM",0.99,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"ARM",0,0.99
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"ARM",0.99,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"ARM",0,0.99
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"AZE",0.98,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"AZE",0,0.98
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"AZE",0.98,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"AZE",0,0.98
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"AZE",0.98,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"AZE",0,0.98
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"AZE",0.98,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"AZE",0,0.98
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"AZE",0.98,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"AZE",0,0.98
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"AZE",0.98,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"AZE",0,0.98
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"AZE",0.98,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"AZE",0,0.98
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"BDI",0.93,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"BDI",0,0.93
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"BDI",0.93,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"BDI",0,0.93
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"BDI",0.93,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"BDI",0,0.93
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"BDI",0.93,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"BDI",0,0.93
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"BDI",0.93,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"BDI",0,0.93
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"BDI",0.93,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"BDI",0,0.93
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"BDI",0.93,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"BDI",0,0.93
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"BEN",0.97,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"BEN",0,0.97
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"BEN",0.97,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"BEN",0,0.97
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"BEN",0.97,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"BEN",0,0.97
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"BEN",0.97,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"BEN",0,0.97
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"BEN",0.97,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"BEN",0,0.97
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"BEN",0.97,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"BEN",0,0.97
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"BEN",0.97,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"BEN",0,0.97
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"BFA",0.98,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"BFA",0,0.98
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"BFA",0.98,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"BFA",0,0.98
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"BFA",0.98,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"BFA",0,0.98
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"BFA",0.98,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"BFA",0,0.98
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"BFA",0.98,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"BFA",0,0.98
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"BFA",0.98,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"BFA",0,0.98
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"BFA",0.98,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"BFA",0,0.98
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"BGD",0.99,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"BGD",0,0.99
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"BGD",0.99,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"BGD",0,0.99
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"BGD",0.99,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"BGD",0,0.99
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"BGD",0.99,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"BGD",0,0.99
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"BGD",0.99,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"BGD",0,0.99
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"BGD",0.99,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"BGD",0,0.99
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"BGD",0.99,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"BGD",0,0.99
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"BOL",0.96,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"BOL",0,0.96
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"BOL",0.96,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"BOL",0,0.96
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"BOL",0.96,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"BOL",0,0.96
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"BOL",0.96,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"BOL",0,0.96
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"BOL",0.96,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"BOL",0,0.96
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"BOL",0.96,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"BOL",0,0.96
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"BOL",0.96,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"BOL",0,0.96
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"BTN",0.99,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"BTN",0,0.99
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"BTN",0.99,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"BTN",0,0.99
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"BTN",0.99,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"BTN",0,0.99
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"BTN",0.99,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"BTN",0,0.99
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"BTN",0.99,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"BTN",0,0.99
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"BTN",0.99,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"BTN",0,0.99
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"BTN",0.99,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"BTN",0,0.99
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"CAF",0.62,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"CAF",0,0.62
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"CAF",0.62,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"CAF",0,0.62
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"CAF",0.62,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"CAF",0,0.62
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"CAF",0.62,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"CAF",0,0.62
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"CAF",0.62,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"CAF",0,0.62
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"CAF",0.62,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"CAF",0,0.62
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"CAF",0.62,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"CAF",0,0.62
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"CIV",0.95,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"CIV",0,0.95
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"CIV",0.95,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"CIV",0,0.95
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"CIV",0.95,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"CIV",0,0.95
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"CIV",0.95,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"CIV",0,0.95
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"CIV",0.95,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"CIV",0,0.95
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"CIV",0.95,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"CIV",0,0.95
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"CIV",0.95,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"CIV",0,0.95
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"CMR",0.7,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"CMR",0,0.7
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"CMR",0.7,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"CMR",0,0.7
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"CMR",0.7,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"CMR",0,0.7
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"CMR",0.7,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"CMR",0,0.7
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"CMR",0.7,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"CMR",0,0.7
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"CMR",0.7,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"CMR",0,0.7
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"CMR",0.7,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"CMR",0,0.7
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"COD",0.92,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"COD",0,0.92
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"COD",0.92,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"COD",0,0.92
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"COD",0.92,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"COD",0,0.92
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"COD",0.92,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"COD",0,0.92
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"COD",0.92,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"COD",0,0.92
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"COD",0.92,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"COD",0,0.92
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"COD",0.92,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"COD",0,0.92
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"COG",0.82,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"COG",0,0.82
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"COG",0.82,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"COG",0,0.82
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"COG",0.82,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"COG",0,0.82
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"COG",0.82,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"COG",0,0.82
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"COG",0.82,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"COG",0,0.82
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"COG",0.82,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"COG",0,0.82
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"COG",0.82,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"COG",0,0.82
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"COM",0.94,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"COM",0,0.94
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"COM",0.94,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"COM",0,0.94
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"COM",0.94,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"COM",0,0.94
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"COM",0.94,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"COM",0,0.94
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"COM",0.94,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"COM",0,0.94
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"COM",0.94,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"COM",0,0.94
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"COM",0.94,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"COM",0,0.94
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"DJI",0.9,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"DJI",0,0.9
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"DJI",0.9,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"DJI",0,0.9
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"DJI",0.9,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"DJI",0,0.9
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"DJI",0.9,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"DJI",0,0.9
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"DJI",0.9,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"DJI",0,0.9
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"DJI",0.9,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"DJI",0,0.9
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"DJI",0.9,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"DJI",0,0.9
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"ERI",0.97,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"ERI",0,0.97
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"ERI",0.97,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"ERI",0,0.97
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"ERI",0.97,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"ERI",0,0.97
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"ERI",0.97,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"ERI",0,0.97
"maternal_efficacy_max","efficacy_max","maternal",0.9,0,0.416666666666667,0,1,2020,"ERI",0.97,0
"mAb_efficacy_max","efficacy_max","mAb",0,0.9,0,0.5,1,2020,"ERI",0,0.97
"maternal_duration_min","duration_min","maternal",0.7,0,0.25,0,1,2020,"ERI",0.97,0
"mAb_duration_min","duration_min","mAb",0,0.7,0,0.333333333333333,1,2020,"ERI",0,0.97
"maternal_duration_max","duration_max","maternal",0.7,0,0.5,0,1,2020,"ERI",0.97,0
"mAb_duration_max","duration_max","mAb",0,0.7,0,0.666666666666667,1,2020,"ERI",0,0.97
"maternal_basecase","basecase","maternal",0.7,0,0.416666666666667,0,1,2020,"ETH",0.92,0
"mAb_basecase","basecase","mAb",0,0.7,0,0.5,1,2020,"ETH",0,0.92
"maternal_price_mAb_min","price_mAb_min","maternal",0.7,0,0.416666666666667,0,0.666666666666667,2020,"ETH",0.92,0
"mAb_price_mAb_min","price_mAb_min","mAb",0,0.7,0,0.5,0.666666666666667,2020,"ETH",0,0.92
"maternal_price_mAb_max","price_mAb_max","maternal",0.7,0,0.416666666666667,0,1.83333333333333,2020,"ETH",0.92,0
"mAb_price_mAb_max","price_mAb_max","mAb",0,0.7,0,0.5,1.83333333333333,2020,"ETH",0,0.92
"maternal_efficacy_min","efficacy_min","maternal",0.5,0,0.416666666666667,0,1,2020,"ETH",0.92,0
"mAb_efficacy_min","efficacy_min","mAb",0,0.5,0,0.5,1,2020,"ETH",0,0.92
